,personNr1,personNr2,connection
158,19290704-5793,19261021-1528,partner of
159,19350523-8249,19441115-6648,partner of
160,19620213-1737,19620321-6229,partner of
161,19670601-8763,19700414-8866,partner of
162,19631113-8097,19420918-6389,child of
163,19580525-2277,19420918-6389,child of
164,19420918-6389,19631113-8097,parent of
165,19420918-6389,19580525-2277,parent of
166,19631113-8097,19580525-2277,partner of
167,19710227-1713,19681025-1486,partner of
168,19600610-5624,19560518-1486,partner of
169,19600610-5624,19670726-5942,partner of
170,19560518-1486,19670726-5942,partner of
171,19651101-8301,19550504-8643,partner of
172,19440614-7670,19420728-3746,partner of
173,19440614-7670,19530328-3850,partner of
174,19420728-3746,19530328-3850,partner of
175,19470109-7680,19400616-4114,partner of
176,19091206-4531,19110614-5655,partner of
177,19670721-9649,19371202-6685,child of
178,19371202-6685,19670721-9649,parent of
179,19371202-6685,19130811-8637,child of
180,19670721-9649,19130811-8637,child of
181,19130811-8637,19371202-6685,parent of
182,19130811-8637,19670721-9649,parent of
183,19731112-6756,19670721-9649,partner of
184,19470901-2272,19600907-3485,partner of
185,19590613-8177,19521024-7656,partner of
186,19590613-8177,19600325-4314,partner of
187,19521024-7656,19600325-4314,partner of
188,19450210-8964,19400105-4105,partner of
189,19000930-4838,19100110-8449,partner of
190,19500623-2817,19391001-2916,partner of
191,19321114-6864,19310329-4336,partner of
192,19471214-3826,19501129-3430,partner of
193,19001221-5892,19010915-2513,partner of
194,19001221-5892,19060911-8466,partner of
195,19001221-5892,19050617-7997,partner of
196,19010915-2513,19060911-8466,partner of
197,19010915-2513,19050617-7997,partner of
198,19060911-8466,19050617-7997,partner of
199,19431227-5493,19360416-2486,partner of
200,19620720-3549,19421007-8455,child of
201,19421007-8455,19620720-3549,parent of
202,19331209-5913,19421007-8455,partner of
203,19421007-8455,19510827-1002,partner of
204,19620720-3549,19510827-1002,partner of
205,19390622-1309,19330602-5194,partner of
206,19060118-3846,19160818-9053,partner of
207,19480524-6551,19540602-3694,partner of
208,19480524-6551,19550913-8806,partner of
209,19540602-3694,19550913-8806,partner of
210,19520630-1065,19540810-8403,partner of
211,19540810-8403,19660618-6064,partner of
212,19420105-6667,19170204-1301,child of
213,19431105-1238,19170204-1301,child of
214,19170204-1301,19420105-6667,parent of
215,19170204-1301,19431105-1238,parent of
216,19420105-6667,19431105-1238,partner of
217,19390704-5269,19220518-4811,child of
218,19220518-4811,19390704-5269,parent of
219,19401015-5493,19451114-7031,partner of
220,19401015-5493,19340414-5942,partner of
221,19451114-7031,19340414-5942,partner of
222,19620911-4392,19450830-9822,child of
223,19450830-9822,19620911-4392,parent of
224,19450830-9822,19160712-9884,child of
225,19620911-4392,19160712-9884,child of
226,19160712-9884,19450830-9822,parent of
227,19160712-9884,19620911-4392,parent of
228,19290921-4272,19160712-9884,partner of
229,19131129-4179,19210413-3811,partner of
230,19210413-3811,19280805-6894,partner of
231,19331128-4426,19230820-6791,partner of
232,19331128-4426,19310222-8276,partner of
233,19230820-6791,19310222-8276,partner of
234,19400906-5349,19280825-5316,partner of
235,19400906-5349,19361222-8110,partner of
236,19280825-5316,19361222-8110,partner of
237,19700408-7430,19690812-4594,partner of
238,19450925-3973,19390920-8545,partner of
239,19220901-7191,19310214-6187,partner of
240,19050214-6655,19040906-4911,partner of
241,19170330-1482,19230413-9268,partner of
242,19170330-1482,19130613-5009,partner of
243,19170330-1482,19151106-9359,partner of
244,19230413-9268,19130613-5009,partner of
245,19230413-9268,19151106-9359,partner of
246,19130613-5009,19151106-9359,partner of
247,19370508-3648,19290525-5079,partner of
248,19451009-5701,19100907-8638,child of
249,19100907-8638,19451009-5701,parent of
250,19100907-8638,19151211-4904,partner of
251,19660710-6788,19350216-8968,child of
252,19600212-5887,19350216-8968,child of
253,19350216-8968,19660710-6788,parent of
254,19350216-8968,19600212-5887,parent of
255,19660710-6788,19600212-5887,partner of
256,19170611-7905,19201005-5549,partner of
257,19170611-7905,19271226-9168,partner of
258,19201005-5549,19271226-9168,partner of
259,19360722-3059,19271226-9168,partner of
260,19400424-3240,19450726-8264,partner of
261,19400424-3240,19280410-9033,partner of
262,19400424-3240,19430312-6221,partner of
263,19450726-8264,19430312-6221,partner of
264,19650915-5363,19370504-2965,child of
265,19711213-2668,19370504-2965,child of
266,19370504-2965,19650915-5363,parent of
267,19370504-2965,19711213-2668,parent of
268,19650915-5363,19711213-2668,partner of
269,19370504-2965,19260206-5382,partner of
270,19661222-7388,19620119-9944,partner of
271,19661222-7388,19680729-9806,partner of
272,19620119-9944,19680729-9806,partner of
273,19250423-9838,19330427-7773,partner of
274,19481023-7540,19431014-9448,partner of
275,19211021-4549,19090424-6084,partner of
276,19160701-7015,19241122-1901,partner of
277,19160701-7015,19201115-3553,partner of
278,19241122-1901,19201115-3553,partner of
279,19360216-5202,19430522-3703,partner of
280,19360216-5202,19480421-6035,partner of
281,19430522-3703,19480421-6035,partner of
282,19311103-3176,19200807-6524,partner of
283,19430206-7457,19491120-8459,partner of
284,19430206-7457,19420319-2121,partner of
285,19491120-8459,19420319-2121,partner of
286,19360802-9638,19270402-1637,partner of
287,19130225-4146,19250907-3605,partner of
288,19130225-4146,19260603-2109,partner of
289,19250907-3605,19260603-2109,partner of
290,19630403-6579,19560629-4202,partner of
291,19560304-7971,19651208-3924,partner of
292,19500617-9718,19180416-6289,child of
293,19180416-6289,19500617-9718,parent of
294,19060325-9425,19180416-6289,partner of
295,19060325-9425,19131217-5050,partner of
296,19180416-6289,19131217-5050,partner of
297,19691026-1699,19281107-2357,child of
298,19281107-2357,19691026-1699,parent of
299,19691026-1699,19420804-9750,child of
300,19420804-9750,19691026-1699,parent of
301,19281107-2357,19420804-9750,partner of
302,19670321-7055,19731215-8087,partner of
303,19690417-8087,19710112-6617,partner of
304,19150509-3029,19140419-6435,partner of
305,19530109-2730,19470223-5295,partner of
306,19530109-2730,19450816-6518,partner of
307,19470223-5295,19450816-6518,partner of
308,19151113-6295,19071230-5294,partner of
309,19071230-5294,19020306-2906,partner of
310,19110704-4156,19191008-6872,partner of
311,19290910-3359,19291104-3119,partner of
312,19650724-4590,19360211-7640,child of
313,19360211-7640,19650724-4590,parent of
314,19170709-2042,19221209-1156,partner of
315,19170709-2042,19080325-6968,partner of
316,19311116-7422,19221209-1156,partner of
317,19561103-4979,19140621-1416,child of
318,19140621-1416,19561103-4979,parent of
319,19140621-1416,19230218-8291,partner of
320,19140621-1416,19160816-6757,partner of
321,19230218-8291,19160816-6757,partner of
322,19440622-3755,19410901-5000,partner of
323,19001105-9644,19121005-6244,partner of
324,19001105-9644,19120422-4007,partner of
325,19121005-6244,19120422-4007,partner of
326,19271014-4867,19190501-9381,partner of
327,19190501-9381,19091129-1129,partner of
328,19520504-8947,19420420-2744,partner of
329,19420420-2744,19310629-7868,partner of
330,19100224-2165,19210702-3140,partner of
331,19520830-4849,19551124-8717,partner of
332,19520830-4849,19580823-3578,partner of
333,19551124-8717,19580823-3578,partner of
334,19120817-6002,19171127-7331,partner of
335,19120817-6002,19180913-3843,partner of
336,19171127-7331,19180913-3843,partner of
337,19270517-1151,19380726-7006,partner of
338,19270517-1151,19161019-3819,partner of
339,19270517-1151,19250212-9312,partner of
340,19380726-7006,19250212-9312,partner of
341,19161019-3819,19250212-9312,partner of
342,19340918-4991,19210810-4916,partner of
343,19210810-4916,19120916-2626,partner of
344,19510601-9280,19140818-6135,child of
345,19480106-8778,19140818-6135,child of
346,19140818-6135,19510601-9280,parent of
347,19140818-6135,19480106-8778,parent of
348,19510601-9280,19480106-8778,partner of
349,19231201-1628,19140818-6135,partner of
350,19571029-5469,19361221-7301,child of
351,19361221-7301,19571029-5469,parent of
352,19361221-7301,19330320-7403,partner of
353,19440405-9737,19520610-8834,partner of
354,19440405-9737,19380826-6645,partner of
355,19440405-9737,19450908-7029,partner of
356,19520610-8834,19450908-7029,partner of
357,19380826-6645,19450908-7029,partner of
358,19211219-9644,19340904-9263,partner of
359,19330313-6872,19300304-9425,partner of
360,19560811-2515,19660407-3254,partner of
361,19560811-2515,19451207-5960,partner of
362,19660901-5382,19110113-6432,child of
363,19410111-1992,19110113-6432,child of
364,19110113-6432,19660901-5382,parent of
365,19110113-6432,19410111-1992,parent of
366,19110113-6432,19020831-6309,partner of
367,19270414-6074,19160903-3114,partner of
368,19390224-6964,19480823-6410,partner of
369,19170212-2128,19281231-4142,partner of
370,19170212-2128,19230403-7172,partner of
371,19281231-4142,19230403-7172,partner of
372,19071230-6802,19040209-6827,partner of
373,19260623-1107,19361122-9739,partner of
374,19401117-8175,19410629-3669,partner of
375,19401117-8175,19320612-9239,partner of
376,19410629-3669,19320612-9239,partner of
377,19700203-1445,19000626-8997,child of
378,19000626-8997,19700203-1445,parent of
379,19290127-9493,19320717-6942,partner of
380,19491215-5357,19600618-7306,partner of
381,19501128-7815,19580605-7838,partner of
382,19580605-7838,19660711-5260,partner of
383,19621218-6197,19350821-6904,child of
384,19350821-6904,19621218-6197,parent of
385,19010927-2997,19110331-8044,partner of
386,19350630-7203,19141111-3842,child of
387,19620108-4880,19141111-3842,child of
388,19141111-3842,19350630-7203,parent of
389,19141111-3842,19620108-4880,parent of
390,19350630-7203,19250106-8754,partner of
391,19141111-3842,19250106-8754,partner of
392,19661213-7782,19550504-7672,partner of
393,19661213-7782,19540729-6139,partner of
394,19550504-7672,19540729-6139,partner of
395,19180918-9703,19270124-8348,partner of
396,19710302-8363,19620206-1007,partner of
397,19710302-8363,19660614-8169,partner of
398,19620206-1007,19660614-8169,partner of
399,19590730-9398,19531111-8313,partner of
400,19451207-7530,19380223-6922,partner of
401,19541113-2263,19480620-9906,partner of
402,19410807-8958,19490918-2766,partner of
403,19450515-5477,19440315-7882,partner of
404,19510828-1342,19601228-9431,partner of
405,19050216-2949,19110817-4461,partner of
406,19670212-5912,19710102-9527,partner of
407,19150420-6481,19021108-1146,partner of
408,19270823-8595,19230916-6619,partner of
409,19190127-4697,19210724-6359,partner of
410,19170425-5002,19100316-4363,partner of
411,19170425-5002,19120904-3299,partner of
412,19100316-4363,19120904-3299,partner of
413,19570205-2818,19220319-7295,child of
414,19220319-7295,19570205-2818,parent of
415,19570205-2818,19310329-1843,child of
416,19310329-1843,19570205-2818,parent of
417,19220319-7295,19310329-1843,partner of
418,19110416-3160,19190616-8820,partner of
419,19110416-3160,19160511-3801,partner of
420,19190616-8820,19160511-3801,partner of
421,19270608-9502,19220708-3725,partner of
422,19270607-1993,19240207-9422,partner of
423,19620216-8494,19561103-8904,partner of
424,19310215-3163,19271217-1953,partner of
425,19101105-7634,19080527-6479,partner of
426,19591106-3466,19271101-8380,child of
427,19510321-3757,19271101-8380,child of
428,19271101-8380,19591106-3466,parent of
429,19271101-8380,19510321-3757,parent of
430,19591106-3466,19510321-3757,partner of
431,19630725-1588,19701231-9253,partner of
432,19731003-1921,19651125-8785,partner of
433,19131106-4963,19150507-4221,partner of
434,19131106-4963,19190313-7749,partner of
435,19150507-4221,19190313-7749,partner of
436,19660730-7490,19550524-9144,partner of
437,19651230-1956,19410410-3241,child of
438,19410410-3241,19651230-1956,parent of
439,19130901-7251,19200808-8793,partner of
440,19131220-4742,19080910-3438,partner of
441,19080910-3438,19000318-6801,partner of
442,19670220-2245,19500220-1435,child of
443,19500220-1435,19670220-2245,parent of
444,19570216-1662,19570411-4427,partner of
445,19360930-8732,19071127-5287,child of
446,19071127-5287,19360930-8732,parent of
447,19071127-5287,19120204-2366,partner of
448,19050806-6701,19101211-4376,partner of
449,19670806-7755,19700713-4175,partner of
450,19091031-5865,19200915-7923,partner of
451,19091031-5865,19010302-1241,partner of
452,19500621-1076,19530924-2627,partner of
453,19580808-9863,19220827-5024,child of
454,19440705-2604,19220827-5024,child of
455,19220827-5024,19580808-9863,parent of
456,19220827-5024,19440705-2604,parent of
457,19120308-7537,19220827-5024,partner of
458,19330927-3428,19210807-2976,partner of
459,19330927-3428,19251014-9540,partner of
460,19330927-3428,19390209-1106,partner of
461,19210807-2976,19251014-9540,partner of
462,19620501-4171,19420701-9135,child of
463,19420701-9135,19620501-4171,parent of
464,19550721-7826,19420701-9135,partner of
465,19550721-7826,19620501-4171,partner of
466,19331215-3700,19460914-4325,partner of
467,19331215-3700,19410525-9982,partner of
468,19331215-3700,19450210-9010,partner of
469,19460914-4325,19410525-9982,partner of
470,19460914-4325,19450210-9010,partner of
471,19410525-9982,19450210-9010,partner of
472,19350216-4189,19410220-5668,partner of
473,19100923-6583,19160906-9878,partner of
474,19601019-1680,19511016-5000,partner of
475,19430811-3090,19511016-5000,partner of
476,19470224-2222,19050108-4641,child of
477,19050108-4641,19470224-2222,parent of
478,19020429-7593,19010218-3387,partner of
479,19020429-7593,19050108-4641,partner of
480,19010218-3387,19050108-4641,partner of
481,19490324-5094,19060811-6809,child of
482,19490313-3933,19060811-6809,child of
483,19600324-3027,19060811-6809,child of
484,19060811-6809,19490324-5094,parent of
485,19060811-6809,19490313-3933,parent of
486,19060811-6809,19600324-3027,parent of
487,19490324-5094,19490313-3933,partner of
488,19490324-5094,19600324-3027,partner of
489,19490313-3933,19600324-3027,partner of
490,19500914-6078,19180425-3121,child of
491,19180425-3121,19500914-6078,parent of
492,19601010-7681,19520408-1811,partner of
493,19601010-7681,19500705-4877,partner of
494,19601010-7681,19480511-1251,partner of
495,19520408-1811,19500705-4877,partner of
496,19520408-1811,19480511-1251,partner of
497,19500705-4877,19480511-1251,partner of
498,19430416-8538,19200303-3134,child of
499,19200303-3134,19430416-8538,parent of
500,19430605-3185,19470929-8635,partner of
501,19430605-3185,19530619-5119,partner of
502,19430605-3185,19360217-6804,partner of
503,19470929-8635,19530619-5119,partner of
504,19470929-8635,19360217-6804,partner of
505,19550426-7281,19500401-8345,partner of
506,19680418-6023,19620312-3185,partner of
507,19680418-6023,19610127-7375,partner of
508,19620312-3185,19610127-7375,partner of
509,19711227-3638,19681004-4755,partner of
510,19090224-8121,19210927-6381,partner of
511,19621010-2214,19060207-8088,child of
512,19220729-4456,19060207-8088,child of
513,19060207-8088,19621010-2214,parent of
514,19060207-8088,19220729-4456,parent of
515,19621010-2214,19220729-4456,child of
516,19220729-4456,19621010-2214,parent of
517,19060207-8088,19061203-3169,partner of
518,19020224-8657,19090615-4909,partner of
519,19660424-1896,19310215-5561,child of
520,19310215-5561,19660424-1896,parent of
521,19310215-5561,19350212-2736,partner of
522,19580928-1375,19170413-9880,child of
523,19480326-2043,19170413-9880,child of
524,19170413-9880,19580928-1375,parent of
525,19170413-9880,19480326-2043,parent of
526,19291019-8200,19170413-9880,partner of
527,19580928-1375,19480326-2043,partner of
528,19220513-2144,19251110-4789,partner of
529,19070128-6435,19060529-9254,partner of
530,19070128-6435,19050706-3319,partner of
531,19060529-9254,19050706-3319,partner of
532,19690706-5167,19260331-3075,child of
533,19610430-6547,19260331-3075,child of
534,19260331-3075,19690706-5167,parent of
535,19260331-3075,19610430-6547,parent of
536,19690706-5167,19230319-6853,child of
537,19610430-6547,19230319-6853,child of
538,19230319-6853,19690706-5167,parent of
539,19230319-6853,19610430-6547,parent of
540,19260331-3075,19230319-6853,partner of
541,19690706-5167,19610430-6547,partner of
542,19410718-4512,19540906-4376,partner of
543,19410718-4512,19540610-8312,partner of
544,19540906-4376,19540610-8312,partner of
545,19570816-5630,19470228-1288,partner of
546,19541216-4360,19571130-9415,partner of
547,19000323-3853,19020825-8899,partner of
548,19700814-5116,19420321-3089,child of
549,19600701-5758,19420321-3089,child of
550,19420321-3089,19700814-5116,parent of
551,19420321-3089,19600701-5758,parent of
552,19700814-5116,19600701-5758,partner of
553,19310115-9125,19360511-2029,partner of
554,19700928-8351,19510708-7101,child of
555,19510708-7101,19700928-8351,parent of
556,19580527-2362,19510930-9949,partner of
557,19570324-4287,19360612-3155,child of
558,19360612-3155,19570324-4287,parent of
559,19290829-4149,19390419-9174,partner of
560,19291030-4810,19250114-9484,partner of
561,19291030-4810,19370210-5418,partner of
562,19250114-9484,19370210-5418,partner of
563,19370210-5418,19451227-4587,partner of
564,19580216-3074,19141125-9418,child of
565,19141125-9418,19580216-3074,parent of
566,19660312-3130,19410422-7697,child of
567,19410422-7697,19660312-3130,parent of
568,19520127-6858,19410422-7697,partner of
569,19680221-8558,19590826-7114,partner of
570,19680221-8558,19630607-9893,partner of
571,19590826-7114,19630607-9893,partner of
572,19320204-6006,19380502-6470,partner of
573,19320204-6006,19260815-8984,partner of
574,19380502-6470,19260815-8984,partner of
575,19631108-2071,19361226-7290,child of
576,19361226-7290,19631108-2071,parent of
577,19171110-2050,19070620-7652,partner of
578,19171110-2050,19140623-6014,partner of
579,19171110-2050,19060802-6847,partner of
580,19070620-7652,19140623-6014,partner of
581,19070620-7652,19060802-6847,partner of
582,19140623-6014,19060802-6847,partner of
583,19651020-3479,19190903-3154,child of
584,19190903-3154,19651020-3479,parent of
585,19651020-3479,19240922-3241,child of
586,19240922-3241,19651020-3479,parent of
587,19190903-3154,19240922-3241,partner of
588,19190903-3154,19080303-6793,partner of
589,19530815-8000,19081106-6839,child of
590,19380911-8331,19081106-6839,child of
591,19081106-6839,19530815-8000,parent of
592,19081106-6839,19380911-8331,parent of
593,19630329-3841,19200414-5759,child of
594,19680627-8259,19200414-5759,child of
595,19390222-8580,19200414-5759,child of
596,19200414-5759,19630329-3841,parent of
597,19200414-5759,19680627-8259,parent of
598,19200414-5759,19390222-8580,parent of
599,19630329-3841,19680627-8259,partner of
600,19650617-7372,19520602-7232,partner of
601,19650617-7372,19620730-5735,partner of
602,19520602-7232,19620730-5735,partner of
603,19390816-6431,19431014-1297,partner of
604,19100827-3208,19110710-8396,partner of
605,19100827-3208,19100612-5314,partner of
606,19110710-8396,19100612-5314,partner of
607,19180602-9600,19171116-3398,partner of
608,19480610-9915,19290928-8034,child of
609,19700125-7190,19290928-8034,child of
610,19290928-8034,19480610-9915,parent of
611,19290928-8034,19700125-7190,parent of
612,19520825-5301,19181030-4142,child of
613,19181030-4142,19520825-5301,parent of
614,19631121-8955,19510506-7313,partner of
615,19600630-6355,19130901-8314,child of
616,19500607-7210,19130901-8314,child of
617,19130901-8314,19600630-6355,parent of
618,19130901-8314,19500607-7210,parent of
619,19600630-6355,19500607-7210,partner of
620,19100526-7405,19130901-8314,partner of
621,19491227-3578,19471014-4185,partner of
622,19730710-3994,19610504-9450,partner of
623,19010306-3606,19140330-7506,partner of
624,19280915-5197,19050131-3200,child of
625,19320128-8271,19050131-3200,child of
626,19050131-3200,19280915-5197,parent of
627,19050131-3200,19320128-8271,parent of
628,19050131-3200,19110506-6478,partner of
629,19280915-5197,19320128-8271,partner of
630,19550715-3460,19420214-3929,partner of
631,19591124-3486,19610517-5585,partner of
632,19591124-3486,19521207-1799,partner of
633,19610517-5585,19521207-1799,partner of
634,19240514-6547,19270728-6886,partner of
635,19380308-7405,19270728-6886,partner of
636,19260620-4479,19150410-6009,partner of
637,19620817-9160,19720708-3533,partner of
638,19350330-2202,19250503-7845,partner of
639,19350330-2202,19440601-5213,partner of
640,19240211-6274,19280316-9865,partner of
641,19251108-3649,19390804-5669,partner of
642,19640704-4036,19611112-6004,partner of
643,19440827-5027,19460903-5768,partner of
644,19640522-1054,19511222-3966,partner of
645,19511222-3966,19461027-1346,partner of
646,19401003-2355,19271127-2209,partner of
647,19401003-2355,19461004-9534,partner of
648,19620617-9606,19520908-6171,partner of
649,19420807-5636,19520908-6171,partner of
650,19361204-3858,19260516-1919,partner of
651,19150106-9783,19260516-1919,partner of
652,19660206-6843,19580216-8412,partner of
653,19510125-5955,19601220-4273,partner of
654,19350830-5917,19430104-1842,partner of
655,19141016-5026,19190503-4956,partner of
656,19280317-8737,19170412-6066,partner of
657,19420603-5451,19361125-5560,partner of
658,19381018-8373,19340409-4000,partner of
659,19620218-9165,19581221-6503,partner of
660,19671128-3070,19560509-3530,partner of
661,19340408-4503,19410212-6112,partner of
662,19340408-4503,19250602-1412,partner of
663,19420701-7288,19470630-3844,partner of
664,19420701-7288,19500326-2793,partner of
665,19470630-3844,19500326-2793,partner of
666,19110528-2059,19210522-2763,partner of
667,19210525-9232,19150329-4881,partner of
668,19621203-5045,19630825-2444,partner of
669,19150622-9372,19211007-8407,partner of
670,19150622-9372,19131002-4923,partner of
671,19211007-8407,19131002-4923,partner of
672,19120216-4432,19031221-6618,partner of
673,19180111-1304,19130421-5998,partner of
674,19310911-9059,19440907-3919,partner of
675,19310911-9059,19290629-5557,partner of
676,19570101-9307,19570907-9013,partner of
677,19570101-9307,19601004-2920,partner of
678,19570907-9013,19601004-2920,partner of
679,19521116-2587,19611004-9270,partner of
680,19521116-2587,19571024-4122,partner of
681,19611004-9270,19571024-4122,partner of
682,19400924-8595,19510214-4944,partner of
683,19381125-3710,19420707-3973,partner of
684,19070527-6310,19010308-5844,partner of
685,19630218-3018,19050916-8689,child of
686,19251024-2842,19050916-8689,child of
687,19050916-8689,19630218-3018,parent of
688,19050916-8689,19251024-2842,parent of
689,19730626-2838,19630218-3018,partner of
690,19300409-8276,19340629-3597,partner of
691,19010812-9810,19110704-6795,partner of
692,19271015-9537,19330112-7524,partner of
693,19031226-4717,19160101-9458,partner of
694,19031226-4717,19081224-1670,partner of
695,19160101-9458,19081224-1670,partner of
696,19211005-9914,19290712-6327,partner of
697,19400421-4816,19290712-6327,partner of
698,19400421-4816,19520212-9633,partner of
699,19600815-5432,19640123-8525,partner of
700,19170819-2838,19050425-9015,partner of
701,19170819-2838,19280524-1089,partner of
702,19680810-1022,19520205-5797,child of
703,19520205-5797,19680810-1022,parent of
