,personNr1,personNr2,connection
0,19631124-6012,19671224-0442,partner of
0,19980408-4730,19960907-2875,partner of
0,19721117-2433,19721117-2894,partner of
0,19491204-9213,19550224-3710,partner of
0,19410923-1324,19480218-5170,partner of
0,19250101-3165,19281207-9242,partner of
0,19630103-0359,19630103-2094,partner of
0,19641010-3657,19660221-2643,partner of
0,19441228-4118,19500923-1932,partner of
0,19250101-6348,19260204-1134,partner of
0,19960514-6986,19940115-9999,partner of
0,19980331-7837,19970115-3254,partner of
0,19660130-6562,19711120-9295,partner of
0,19600908-1261,19610117-9108,partner of
0,19990101-3455,19960914-7771,partner of
0,20030101-2134,20030101-7129,partner of
0,19660405-8075,19680615-9699,partner of
0,19741126-2236,19791226-0952,partner of
0,20030817-5849,19740421-6998,child of
1,19740421-6998,20030817-5849,parent of
0,19310322-8639,19351116-8647,partner of
0,19551220-9959,19551220-2405,partner of
0,19861113-8345,19900727-2233,partner of
0,19590219-7519,19660130-2254,partner of
0,19710612-4787,19720127-6047,partner of
0,19800529-6048,19840122-0516,partner of
0,19610312-2941,19630127-8887,partner of
0,19651115-9485,19690226-7373,partner of
0,19460123-8547,19460123-6164,partner of
0,19491126-1108,19561031-3562,partner of
0,19480511-7293,19550718-7302,partner of
0,19630618-0413,19660319-8279,partner of
0,19980627-3266,19960911-5870,partner of
0,19741018-6273,19760711-3804,partner of
0,19800831-7221,19860516-4687,partner of
0,19250101-4440,19321231-4707,partner of
0,19580612-2741,19611125-5379,partner of
0,19701126-9167,19710920-2647,partner of
0,19370510-6325,19400621-6592,partner of
0,19731109-7127,19780218-0768,partner of
0,19680301-1351,19680301-5228,partner of
0,20020322-5325,19740406-9196,child of
1,19740406-9196,20020322-5325,parent of
2,20020322-5325,19760913-9450,child of
3,19760913-9450,20020322-5325,parent of
0,19740406-9196,19760913-9450,partner of
0,20030101-7319,20101231-2151,partner of
0,19690517-5570,19730619-9310,partner of
0,19411212-2862,19441021-6150,partner of
0,19850301-3112,19870929-9891,partner of
0,19670415-4358,19680215-6137,partner of
0,19920917-1543,19931108-0943,partner of
0,19250101-8699,19250531-5974,partner of
0,19811105-9047,19881231-2025,partner of
0,20030101-6245,20041110-4931,partner of
0,19660613-6987,19680826-7785,partner of
0,19670806-7892,19740227-8913,partner of
0,19780226-1085,19851231-6919,partner of
0,19570510-7635,19611115-8954,partner of
0,19800629-8823,19840120-3952,partner of
0,19980129-3590,19970328-9671,partner of
0,19980526-6026,19961214-7533,partner of
0,19540423-3971,19540423-7992,partner of
0,19760612-0902,19830423-8532,partner of
0,19740804-3837,19810606-7144,partner of
0,19690418-5480,19701004-9226,partner of
0,19701025-1307,19771231-7151,partner of
0,19980301-9432,19990310-2475,partner of
0,19711207-9184,19781231-6557,partner of
0,19450831-1601,19460901-1492,partner of
0,19281213-8231,19320604-0228,partner of
0,19710815-9472,19761006-0482,partner of
0,19330113-9209,19360705-0012,partner of
0,19981005-6858,19960817-7540,partner of
0,19250101-1814,19270523-0213,partner of
0,19490123-0132,19540616-2573,partner of
0,19250101-9769,19250101-7618,partner of
0,19761101-0020,19761101-2557,partner of
0,20030101-3349,20090909-4926,partner of
0,19760422-6425,19810921-1760,partner of
0,19940704-4203,19980420-9101,partner of
0,19350714-5092,19370217-3910,partner of
0,19630311-9283,19701231-9441,partner of
0,19700529-6273,19770206-9331,partner of
0,19470711-8717,19510428-5712,partner of
0,19791216-8071,19791216-8250,partner of
0,20030101-6504,20101231-7640,partner of
0,19990410-2474,19961026-1451,partner of
0,19990410-2474,19940101-7241,partner of
0,19961026-1451,19940101-7241,partner of
0,19770903-5985,19791204-1421,partner of
0,19470112-4039,19500520-9241,partner of
0,20030101-8193,20060703-0665,partner of
0,19350606-2834,19391026-6582,partner of
0,19750405-1627,19770608-1551,partner of
0,19561229-2591,19611021-5164,partner of
0,19650520-8094,19710803-8466,partner of
0,20030101-7472,20040811-7706,partner of
0,19471013-3488,19530716-1367,partner of
0,19590719-0443,19631025-6505,partner of
0,19810102-5982,19930101-4523,partner of
0,19370120-3775,19370826-7609,partner of
0,19990429-4884,19961120-9622,partner of
0,19990429-4884,19941010-1291,partner of
0,19961120-9622,19941010-1291,partner of
0,19860817-2110,19860817-9908,partner of
0,19541120-6213,19581218-1619,partner of
0,20020101-9753,19831119-0059,child of
1,19831119-0059,20020101-9753,parent of
2,20020101-9753,19840416-9311,child of
3,19840416-9311,20020101-9753,parent of
0,19831119-0059,19840416-9311,partner of
0,19600730-5945,19600730-7652,partner of
0,19481118-8145,19550430-8599,partner of
0,19490615-4063,19560714-1667,partner of
0,19791022-5285,19861115-6656,partner of
0,19250101-3148,19280720-4795,partner of
0,19571228-6509,19591124-8799,partner of
0,19870204-3894,19870204-2566,partner of
0,19811024-9080,19841224-8764,partner of
0,19960308-4985,19500402-4412,child of
1,19500402-4412,19960308-4985,parent of
0,19250101-7522,19320501-2683,partner of
0,19980714-6685,19961201-5292,partner of
0,20000805-3535,20000805-4472,partner of
0,19820418-6713,19830226-2026,partner of
0,19410109-1167,19481231-7939,partner of
0,19570224-1686,19600426-1121,partner of
0,19920712-3805,19971213-0739,partner of
0,19800919-7272,19851030-3291,partner of
0,19580609-7200,19621029-4289,partner of
0,19870730-0305,19941227-4707,partner of
0,19511204-6936,19521127-9331,partner of
0,19900103-8463,19971231-8404,partner of
0,19990101-5970,19970110-2790,partner of
0,19250101-4243,19281211-4446,partner of
0,19980713-2075,19960121-5866,partner of
0,19551210-5127,19571119-4423,partner of
0,19980620-1722,20041008-5487,partner of
0,19551011-8441,19621231-5023,partner of
0,19980714-0805,19970210-0685,partner of
0,19870518-8740,19891013-3787,partner of
0,19250101-2657,19280302-0376,partner of
0,19601229-5140,19670322-8887,partner of
0,19990712-2324,19970207-5533,partner of
0,19990712-2324,19950509-4032,partner of
0,19970207-5533,19950509-4032,partner of
0,19361111-4568,19401028-5165,partner of
0,19980616-6598,19961207-1863,partner of
0,19901115-3449,19970825-4757,partner of
0,19771207-9674,19841231-5167,partner of
0,19571031-6518,19620101-4819,partner of
0,19460124-0582,19480819-0314,partner of
0,19980101-0272,19960521-7547,partner of
0,20030101-8405,20090923-1122,partner of
0,20030421-3589,19610728-6982,child of
1,19610728-6982,20030421-3589,parent of
0,19740224-4821,19811231-7735,partner of
0,19620723-8914,19691223-0794,partner of
0,19750304-8456,19750304-1477,partner of
0,19740206-3493,19780514-2509,partner of
0,19250101-5682,19321231-4878,partner of
0,19980419-4890,19960416-6052,partner of
0,19980419-4890,19940210-9253,partner of
0,19960416-6052,19940210-9253,partner of
0,19980820-5721,19960729-6475,partner of
0,19830608-6414,19891117-6777,partner of
0,20030101-6279,20100320-4161,partner of
0,19601015-7052,19610506-7821,partner of
0,19351110-6015,19380110-3874,partner of
0,19880306-4229,19900913-1773,partner of
0,19720803-6479,19771121-0758,partner of
0,19250101-9455,19320414-3595,partner of
0,19570903-5837,19600226-8267,partner of
0,20030101-9513,20060507-6508,partner of
0,19680818-5059,19751231-9994,partner of
0,19250101-1388,19300518-4153,partner of
0,19490711-3402,19560915-1001,partner of
0,19470728-7867,19930504-2598,partner of
0,19371216-5851,19390625-0201,partner of
0,19880723-1740,19940205-3966,partner of
0,19690908-5022,19740920-3897,partner of
0,19500502-7307,19521217-2679,partner of
0,20030101-7447,20090704-3695,partner of
0,19250101-6130,19281123-3140,partner of
0,19450911-4451,19480120-9221,partner of
0,19680725-4814,19751231-2456,partner of
0,19690401-9315,19731028-2979,partner of
0,19510719-7970,19520425-5285,partner of
0,19530613-3565,19580821-3932,partner of
0,19650222-7530,19721231-6323,partner of
0,19250101-1024,19281009-1744,partner of
0,19640923-5343,19680520-0862,partner of
0,19271003-2747,19300720-2003,partner of
0,19990106-2567,19960415-8242,partner of
0,19910711-3318,19941103-1772,partner of
0,19900711-8661,19950830-7341,partner of
0,19350402-2294,19381219-1499,partner of
0,19500119-1381,19540907-9366,partner of
0,19540227-0830,19590722-9446,partner of
0,19360920-3506,19390929-2527,partner of
0,19621118-7501,19650421-3470,partner of
0,19250101-6268,19280618-8940,partner of
0,19701212-4476,19750825-2803,partner of
0,20030101-4925,20070713-0300,partner of
0,19620303-3345,19651211-7077,partner of
0,20030410-4145,19450215-5367,child of
1,19450215-5367,20030410-4145,parent of
0,19720606-5074,19770414-9214,partner of
0,19990923-6769,19990923-5713,partner of
0,19520813-4823,19551020-8676,partner of
0,19851024-1144,19900621-2342,partner of
0,19620428-3571,19640429-9507,partner of
0,20030101-5574,20050612-6087,partner of
0,19670926-6954,19730622-3640,partner of
0,19350417-1956,19361104-4893,partner of
0,20031231-7235,19770925-6098,child of
1,19770925-6098,20031231-7235,parent of
2,20031231-7235,19770925-2640,child of
3,19770925-2640,20031231-7235,parent of
0,19770925-6098,19770925-2640,partner of
0,19571225-0166,19610608-0565,partner of
0,19980825-7341,19960624-9059,partner of
0,19870314-7114,19910418-7900,partner of
0,19581128-8491,19610307-9268,partner of
0,19891229-7824,19910908-5885,partner of
0,19640724-8876,19660620-6888,partner of
0,20030203-2236,19710807-7367,child of
1,19710807-7367,20030203-2236,parent of
0,19480316-4186,19530810-5367,partner of
0,19311001-2791,19341108-3879,partner of
0,19521214-5260,19591104-0115,partner of
0,20030521-9889,19641027-5942,child of
1,19641027-5942,20030521-9889,parent of
0,20030521-9889,19960429-6568,partner of
0,19980101-9826,19970212-5018,partner of
0,19980101-9826,19950203-1187,partner of
0,19970212-5018,19950203-1187,partner of
0,20030101-0523,20101231-0207,partner of
0,19250101-6840,19290706-5730,partner of
0,20021228-9224,19421115-2373,child of
1,19421115-2373,20021228-9224,parent of
0,19751211-0123,19791201-3261,partner of
0,19250101-6979,19321231-3897,partner of
0,19981027-3304,19960629-0608,partner of
0,20020929-1126,19800716-2703,child of
1,19800716-2703,20020929-1126,parent of
0,19961005-0001,19990829-0982,partner of
0,19300816-1890,19310121-3584,partner of
0,19981111-2683,19960521-2723,partner of
0,20020107-2181,20050505-2927,partner of
0,19310314-2179,19360504-1332,partner of
0,19660726-0336,19690921-3954,partner of
0,19801113-9032,19860608-0836,partner of
0,19700121-1979,19720102-8475,partner of
0,20000401-7865,20010613-8939,partner of
0,19981007-1143,19960709-7589,partner of
0,19960711-3219,20011005-5523,partner of
0,19610127-0245,19671109-3374,partner of
0,19810930-6536,19840308-5844,partner of
0,19601126-4001,19671231-3900,partner of
0,19521213-0617,19540201-1226,partner of
0,19370802-2859,19411216-3987,partner of
0,19990330-7787,19970308-6602,partner of
0,19591228-4525,19661231-2459,partner of
0,20030101-4699,20050704-9621,partner of
0,19520728-3169,19520728-4486,partner of
0,19890910-3319,19950112-0671,partner of
0,19250101-3108,19291106-0504,partner of
0,19250101-5838,19300710-5955,partner of
0,19990330-8648,19960803-9422,partner of
0,19250101-1470,19290523-6330,partner of
0,19510720-2619,19581231-8585,partner of
0,19500615-3391,19541106-2295,partner of
0,19700523-6046,19700826-7741,partner of
0,19921015-3965,19921015-7975,partner of
0,19440305-1785,19441005-4889,partner of
0,19990131-0233,19970121-5371,partner of
0,20020811-9810,19431128-1466,child of
1,19431128-1466,20020811-9810,parent of
0,20020811-9810,19970223-4747,partner of
0,19640122-2936,19650126-5829,partner of
0,20030101-2449,20030101-3613,partner of
0,19660614-3742,19691101-8461,partner of
0,19290517-3174,19301005-2580,partner of
0,19991004-1377,19970801-3491,partner of
0,19991004-1377,19951231-4730,partner of
0,19970801-3491,19951231-4730,partner of
0,19720923-0214,19740616-6991,partner of
0,19350311-6139,19390811-8918,partner of
0,19980331-8006,19970727-5757,partner of
0,19980331-8006,19940518-5855,partner of
0,19970727-5757,19940518-5855,partner of
0,19810805-6243,19820421-7570,partner of
0,19990330-2361,19970124-1747,partner of
0,19670517-9299,19700925-4712,partner of
0,19540723-2176,19580503-4699,partner of
0,19720621-7560,19750602-2692,partner of
0,19620620-8691,19650126-6195,partner of
0,19560428-1196,19571202-1076,partner of
0,19980508-9660,19970203-6471,partner of
0,19990122-6912,19971231-0110,partner of
0,19990122-6912,19940403-0473,partner of
0,19971231-0110,19940403-0473,partner of
0,19371014-7684,19400113-8978,partner of
0,19490820-3732,19521011-9313,partner of
0,19500126-7907,19570806-0457,partner of
0,19430327-5284,19430327-2908,partner of
0,19401022-2932,19440215-3155,partner of
0,19991231-9248,19970423-3602,partner of
0,19991231-9248,19951231-6295,partner of
0,19970423-3602,19951231-6295,partner of
0,19370117-8117,19441231-8474,partner of
0,19480122-7772,19530412-6612,partner of
0,19401219-4391,19420929-0015,partner of
0,19450115-5398,19480526-2604,partner of
0,19301117-7797,19311105-8820,partner of
0,19980506-6343,19970326-3253,partner of
0,20020910-9187,19820730-4880,child of
1,19820730-4880,20020910-9187,parent of
0,19250101-7076,19281114-7867,partner of
0,19390319-6718,19420816-6486,partner of
0,19700323-2631,19740303-6101,partner of
0,19810407-0080,19840304-3731,partner of
0,20030606-9043,19770206-7061,child of
1,19770206-7061,20030606-9043,parent of
2,20030606-9043,19841231-2398,child of
3,19841231-2398,20030606-9043,parent of
0,19770206-7061,19841231-2398,partner of
0,19980711-6230,19970330-0275,partner of
0,19250101-3197,19280207-0409,partner of
0,19650326-3938,19710528-6962,partner of
0,20030101-0776,20050901-9088,partner of
0,19521110-3962,19541218-8302,partner of
0,19980805-1146,19970330-8119,partner of
0,19850928-7757,19860316-8688,partner of
0,19250101-0385,19320213-5026,partner of
0,19971014-3290,20040122-6388,partner of
0,19500925-2061,19560314-0055,partner of
0,19531007-4189,19570318-6040,partner of
0,19600725-5620,19630423-5963,partner of
0,19871003-7195,19900131-6279,partner of
0,19250101-9616,19250901-0713,partner of
0,19440705-6224,20010909-7600,partner of
0,19671103-6707,19701031-2687,partner of
0,19830805-4414,19860914-7907,partner of
0,19810313-7742,19831225-6000,partner of
0,19771010-4864,19800131-1049,partner of
0,19701224-2527,19730218-7692,partner of
0,19320927-6711,19340309-4819,partner of
0,19380208-0464,19450408-9298,partner of
0,19311107-4965,19361009-3981,partner of
0,19990330-1517,19961027-0361,partner of
0,19960430-5370,19460509-6255,child of
1,19460509-6255,19960430-5370,parent of
0,19981122-5561,19960430-5370,partner of
0,19250101-0131,19260620-6957,partner of
0,20021009-1171,19821020-6410,child of
1,19821020-6410,20021009-1171,parent of
0,20021009-1171,19970724-6393,partner of
0,19740605-5701,19750805-2034,partner of
0,19760716-3573,19831231-4023,partner of
0,19990220-5797,19970330-3385,partner of
0,19730623-8600,19750614-5483,partner of
0,19781007-8211,19781007-3164,partner of
0,19250101-7267,19281102-4123,partner of
0,19640312-8408,19680405-0417,partner of
0,19250701-0404,19290831-7904,partner of
0,19990626-1742,19960427-7852,partner of
0,19990626-1742,19950509-5500,partner of
0,19960427-7852,19950509-5500,partner of
0,19971118-9985,19990919-3300,partner of
0,19840921-3987,19870317-3561,partner of
0,19290601-9636,19330625-8108,partner of
0,19530323-5009,19570209-0419,partner of
0,20030101-0226,20100119-8825,partner of
0,19500926-2911,19571206-0549,partner of
0,20030101-0813,20101222-1474,partner of
0,19850502-2363,19880226-7810,partner of
0,19890407-2519,19921114-3986,partner of
0,19680110-3759,19751231-4130,partner of
0,19981002-4815,19960710-4173,partner of
0,19640302-9341,19640302-3063,partner of
0,20000807-7650,20040105-8367,partner of
0,19790730-8842,19850714-5059,partner of
0,19680211-0328,19700331-7576,partner of
0,19250101-6814,19251105-5498,partner of
0,19980702-3123,19961031-6553,partner of
0,19601120-0789,19640610-3589,partner of
0,19980812-0377,19960101-6734,partner of
0,19790423-5509,19821002-3990,partner of
0,19501202-0160,19570306-0020,partner of
0,19371123-5342,19400119-0503,partner of
0,19981207-9031,19970712-9563,partner of
0,19981207-9031,19950826-3909,partner of
0,19970712-9563,19950826-3909,partner of
0,20030101-1450,20070918-8312,partner of
0,19520301-5407,19570225-8611,partner of
0,19680411-4943,19750203-7265,partner of
0,19920504-5401,19930225-9978,partner of
0,19540318-1949,19540318-3822,partner of
0,19980712-0820,19960213-9470,partner of
0,19670518-5148,19720310-5789,partner of
0,19980802-5919,19961123-7164,partner of
0,19651231-9814,19700712-5372,partner of
0,19941106-1313,19980707-7784,partner of
0,19760414-0252,19831231-1254,partner of
0,19371122-5168,19430626-3422,partner of
0,19840428-7005,19871115-7175,partner of
0,19540901-8582,19590815-6362,partner of
0,19811103-0729,19850629-3347,partner of
0,19570903-8912,19620926-6629,partner of
0,19720727-5036,19750809-9216,partner of
0,19980618-2891,19960409-5772,partner of
0,19640208-2698,19931104-2949,partner of
0,19611129-8326,19641003-2441,partner of
0,19340930-2992,19390907-9210,partner of
0,20020616-0933,19430913-7113,child of
1,19430913-7113,20020616-0933,parent of
0,19250101-4728,19300629-4752,partner of
0,19521007-5883,19580924-3055,partner of
0,19611203-8524,19671222-9208,partner of
0,19420923-8984,19491231-0544,partner of
0,19741117-1503,19781007-7248,partner of
0,20030101-1303,20061027-4768,partner of
0,19741223-0933,19781213-9555,partner of
0,19741223-0933,19931208-0625,partner of
0,19901123-3581,19931226-3000,partner of
0,19410314-6808,19440427-8035,partner of
0,20001112-4801,19970527-2840,partner of
0,19440511-1991,19500109-3079,partner of
0,19420613-8828,19430901-6823,partner of
0,19980113-9097,19960819-5063,partner of
0,19300804-4747,19301205-0337,partner of
0,19990825-7255,19970419-8264,partner of
0,19990825-7255,19940903-0012,partner of
0,19970419-8264,19940903-0012,partner of
0,19650718-0523,19690322-9276,partner of
0,19770603-2480,19841231-0238,partner of
0,19520403-9317,19541009-6894,partner of
0,19570821-1254,19600218-6043,partner of
0,19830703-9263,19840429-8889,partner of
0,19370303-6421,19380730-8126,partner of
0,19530609-6975,19550419-9328,partner of
0,19790207-7702,19840531-2992,partner of
0,20030101-9519,20080322-0304,partner of
0,19330609-1750,19330609-9931,partner of
0,19920403-6471,19991231-0898,partner of
0,19720420-1634,19760209-1545,partner of
0,19310205-6392,19310205-6797,partner of
0,19541008-8670,19570421-4165,partner of
0,20020124-2834,20020602-8472,partner of
0,19860615-2292,19890420-9450,partner of
0,19990711-7372,20020228-1001,partner of
0,19681121-9021,19740420-8611,partner of
0,19270703-8233,19330331-2838,partner of
0,19531110-0225,19581030-0456,partner of
0,19470812-2135,19510228-1193,partner of
0,20030101-4478,20071105-1672,partner of
0,20030814-3973,19820319-2109,child of
1,19820319-2109,20030814-3973,parent of
0,19810812-6126,19941108-8997,partner of
0,20030612-1837,19430403-6547,child of
1,19430403-6547,20030612-1837,parent of
0,20030612-1837,19990121-8847,partner of
0,20030612-1837,19960814-8161,partner of
0,19990121-8847,19960814-8161,partner of
0,19300529-0369,19371231-8054,partner of
0,19830911-9961,19851023-2193,partner of
0,19411023-1021,19460625-3080,partner of
0,20030101-7663,20080522-1277,partner of
0,19630622-3979,19650827-3045,partner of
0,19580922-9359,19600205-3302,partner of
0,19351201-1551,19370423-2876,partner of
0,19480419-3383,19530910-1541,partner of
0,19990202-5396,19971231-0489,partner of
0,19990202-5396,19940819-2319,partner of
0,19971231-0489,19940819-2319,partner of
0,20030101-2340,20100705-6604,partner of
0,19980728-7730,19960725-8912,partner of
0,19990425-9901,20040108-6631,partner of
0,19480603-9367,19520609-1839,partner of
0,19510531-8950,19540601-8715,partner of
0,19740822-6516,19950414-0681,partner of
0,19250101-9021,19321231-3923,partner of
0,19580613-3669,19650724-0999,partner of
0,19921217-2231,19970409-0874,partner of
0,19360306-4683,19420211-9616,partner of
0,19630530-1442,19690217-0794,partner of
0,19541220-9865,19580611-3193,partner of
0,19780407-3988,19831011-0995,partner of
0,19980101-8587,20000430-3570,partner of
0,20020510-1574,20030616-4128,partner of
0,19521010-0869,19571112-3409,partner of
0,19810320-0568,19850517-5296,partner of
0,19250101-1358,19321231-8462,partner of
0,20030101-8661,20041201-0032,partner of
0,19680402-9043,19700821-0889,partner of
0,19990417-5692,19970517-2827,partner of
0,19990417-5692,19950320-1781,partner of
0,19970517-2827,19950320-1781,partner of
0,19481101-3759,19550108-4705,partner of
0,19841209-1065,19901213-0830,partner of
0,19250101-0127,19290417-3634,partner of
0,19810206-0496,19820211-1165,partner of
0,19760130-1071,19820110-2951,partner of
0,19720830-9663,19750223-9769,partner of
0,19980612-6559,19960315-9987,partner of
0,20030101-9379,20031111-3626,partner of
0,19660829-0187,19700706-3892,partner of
0,19670504-2534,19710608-6475,partner of
0,19250101-0174,19310801-6779,partner of
0,19561111-1513,19561121-7559,partner of
0,19980926-4963,19960304-8781,partner of
0,19551016-1411,19570103-3013,partner of
0,19820317-9950,19860131-2273,partner of
0,19500212-0819,19531130-5388,partner of
0,19580704-6302,19640520-3249,partner of
0,19420525-3345,19460629-4489,partner of
0,19580118-9866,19651231-0216,partner of
0,19420130-0859,19451023-6263,partner of
0,19601204-2530,19610210-1476,partner of
0,20030514-1746,19610801-2367,child of
1,19610801-2367,20030514-1746,parent of
0,19590516-0269,19620103-8438,partner of
0,19401223-2923,19401223-4391,partner of
0,19630928-5234,19680622-1507,partner of
0,19350127-6868,19380610-1983,partner of
0,19510724-1133,19560212-0579,partner of
0,19760709-4234,19800814-8518,partner of
0,19810407-8232,19850120-6922,partner of
0,19350226-7796,19400201-6809,partner of
0,19581126-2117,19620308-7485,partner of
0,20030101-0106,20090427-8613,partner of
0,19520228-5403,19580620-4823,partner of
0,19670213-0355,19711128-7843,partner of
0,20030101-5878,20070712-9480,partner of
0,19331225-9041,19361116-9850,partner of
0,19791118-6897,19830819-7074,partner of
0,19590417-2042,19651011-2008,partner of
0,19831101-3502,19890802-0522,partner of
0,19450629-1822,19451019-1389,partner of
0,19660112-6816,19690827-3584,partner of
0,19460408-0235,19501008-8453,partner of
0,19840621-4597,19900405-2819,partner of
0,19601030-5384,19661018-5915,partner of
0,19790820-7569,19790820-9704,partner of
0,19740224-7387,19810930-3257,partner of
0,19980101-8202,19970202-6887,partner of
0,19340202-5090,19410309-4671,partner of
0,19980329-9260,19960831-7390,partner of
0,19520308-8954,19530331-4233,partner of
0,19720719-8361,19741017-4496,partner of
0,19590731-8793,19630526-2210,partner of
0,19250101-0365,19270214-9330,partner of
0,19991231-3170,19970106-3395,partner of
0,19991231-3170,19940924-4230,partner of
0,19970106-3395,19940924-4230,partner of
0,19601029-8868,19630130-8078,partner of
0,19290306-0486,19330827-4805,partner of
0,19980101-1902,19960428-8801,partner of
0,19650902-6223,19680919-8801,partner of
0,19720308-7792,19770607-4433,partner of
0,20030101-1193,20050430-6572,partner of
0,19470305-6287,19470305-3153,partner of
0,19980419-0786,19961209-7693,partner of
0,19931221-4647,19970315-9426,partner of
0,19600615-1923,19620703-8349,partner of
0,19580922-1938,19650728-0963,partner of
0,19690205-6648,19761231-3839,partner of
0,19640916-9295,19660827-9291,partner of
0,19981108-2932,19960408-7311,partner of
0,19910624-0549,19940309-3853,partner of
0,19820128-5974,19870729-7817,partner of
0,19640229-6582,19701007-5453,partner of
0,19700220-1254,19740407-6305,partner of
0,19570616-3747,19601218-9081,partner of
0,19980215-0887,19960612-0674,partner of
0,19980501-8215,19961103-7401,partner of
0,19980501-8215,19951206-8275,partner of
0,19961103-7401,19951206-8275,partner of
0,19451104-1841,19511019-1815,partner of
0,19980123-7847,19970325-8537,partner of
0,19530224-4803,19570728-9815,partner of
0,19671029-6793,19690220-0863,partner of
0,19980308-7788,19960705-4173,partner of
0,19990127-2050,19970702-0780,partner of
0,19990127-2050,19940101-4689,partner of
0,19970702-0780,19940101-4689,partner of
0,19250101-1463,19300730-0156,partner of
0,19990119-0653,19960321-2317,partner of
0,19620121-3564,19620318-3935,partner of
0,19390407-8160,19421229-5469,partner of
0,19250101-0555,19290322-0143,partner of
0,19250101-0621,19280111-3975,partner of
0,19620611-1350,19640430-7359,partner of
0,19650919-8296,19710115-7347,partner of
0,19670528-3832,19720130-8941,partner of
0,19680609-3093,19751215-3418,partner of
0,19590515-5871,19641112-5593,partner of
0,19250101-6530,19250101-7356,partner of
0,19820801-0819,19881006-4576,partner of
0,19560324-5587,19621014-8859,partner of
0,19250101-5750,19310101-4834,partner of
0,19980319-6479,19961028-3314,partner of
0,19690401-9902,19710714-9902,partner of
0,19600427-6955,19650227-1992,partner of
0,19620217-3420,19650101-6912,partner of
0,19600119-2556,19610924-6915,partner of
0,19250101-0412,19280404-2273,partner of
0,19640110-3062,19680217-5375,partner of
0,19940416-3790,19960723-6461,partner of
0,19920705-1137,19970511-4955,partner of
0,19780907-7827,19850629-5976,partner of
0,19731228-8572,19780603-2745,partner of
0,19830913-2680,19871206-2344,partner of
0,19660224-5887,19671020-7439,partner of
0,19870428-9386,19920326-9610,partner of
0,19981010-5550,19960306-6792,partner of
0,19981010-5550,19950306-0907,partner of
0,19960306-6792,19950306-0907,partner of
0,19980826-4761,19961012-1425,partner of
0,19250101-5407,19300606-7413,partner of
0,19510403-8313,19530228-0229,partner of
0,19360212-9779,19421227-7014,partner of
0,19250101-6453,19301216-2406,partner of
0,19390213-8802,19400724-4035,partner of
0,19380301-5196,19410728-9321,partner of
0,19581113-9098,19640205-7620,partner of
0,19831010-1594,19870718-0867,partner of
0,20020626-1736,19420114-9600,child of
1,19420114-9600,20020626-1736,parent of
0,20020626-1736,19990104-5170,partner of
0,20020626-1736,19960311-1235,partner of
0,19990104-5170,19960311-1235,partner of
0,19980909-6615,19960604-0532,partner of
0,19520927-3068,19550424-9608,partner of
0,19250101-8548,19311202-0802,partner of
0,20030202-6571,19670818-0173,child of
1,19670818-0173,20030202-6571,parent of
2,20030202-6571,19700802-7381,child of
3,19700802-7381,20030202-6571,parent of
0,19670818-0173,19700802-7381,partner of
0,20030202-6571,19980824-1578,partner of
0,20030101-1956,20060320-4063,partner of
0,19921005-6338,19980214-7430,partner of
