,personNr1,personNr2,connection
1,19830615-3954,19940329-4046,partner of
2,19841014-3153,19940329-4046,partner of
0,20030510-4657,19740829-6967,child of
1,19740829-6967,20030510-4657,parent of
2,20030510-4657,19800808-7112,child of
3,19800808-7112,20030510-4657,parent of
0,19740829-6967,19800808-7112,partner of
0,19250101-3717,19250101-8268,partner of
0,19580129-9191,19620621-1325,partner of
0,19831130-7941,19841203-0677,partner of
0,19350609-2886,19420601-0472,partner of
0,19610624-7106,19630413-9021,partner of
0,19830614-3866,19891205-9936,partner of
0,19980705-5329,19960613-3389,partner of
0,19910211-7284,19941203-5362,partner of
0,19920920-9389,19920920-8548,partner of
0,19400630-6923,19430308-6070,partner of
0,19360215-3561,19431231-2470,partner of
0,19400518-5096,19421230-0732,partner of
0,19560123-0629,19560123-6184,partner of
0,20020806-0660,19741205-2500,child of
1,19741205-2500,20020806-0660,parent of
2,20020806-0660,19760909-6983,child of
3,19760909-6983,20020806-0660,parent of
0,19741205-2500,19760909-6983,partner of
0,19940210-3192,20010830-7673,partner of
0,19531219-6618,19550831-2801,partner of
0,19991231-5161,19960604-1313,partner of
1,19991231-5161,19940712-2242,partner of
2,19960604-1313,19940712-2242,partner of
0,19650717-8178,19670217-0465,partner of
0,19410903-0674,19450915-4847,partner of
1,19980101-7839,19961013-4114,partner of
0,19250101-1212,19260922-9497,partner of
0,19850905-3174,19901113-2420,partner of
0,19710917-8923,19741220-0869,partner of
0,20011009-1620,20060413-6578,partner of
0,19381109-5754,19430827-6469,partner of
0,19890924-4162,19940503-4338,partner of
0,19470829-3283,19541231-4859,partner of
1,19981216-6210,19960801-5447,partner of
0,19480730-6788,19530930-9653,partner of
0,19360523-6504,19360523-0573,partner of
0,19680723-0886,19731220-1583,partner of
0,19710720-1690,19721021-8219,partner of
0,20020729-8529,19420327-8345,child of
1,19420327-8345,20020729-8529,parent of
2,20020729-8529,19420703-5151,child of
3,19420703-5151,20020729-8529,parent of
0,19420327-8345,19420703-5151,partner of
0,19980101-8395,19960204-9372,partner of
0,19250101-6010,19270216-2160,partner of
0,19881006-3766,19930619-7331,partner of
0,19430405-2255,19500903-2902,partner of
0,19660319-5008,19681227-3331,partner of
0,19980110-7686,19960703-3021,partner of
0,19580307-3861,19610628-9312,partner of
0,19651204-2312,19690803-1308,partner of
0,19690918-0207,19700315-5729,partner of
0,19561118-4324,19630608-7239,partner of
0,19371113-4526,19381224-8491,partner of
1,19980112-5842,19961028-3460,partner of
0,19391022-6285,19391216-4712,partner of
0,19360415-3386,19370723-4175,partner of
0,19520216-0815,19560205-1232,partner of
1,20010729-8860,19960227-1231,partner of
0,19591015-7107,19650623-0857,partner of
0,19600623-5590,19650815-4310,partner of
0,19550311-3963,19610427-2939,partner of
0,19250101-0679,19250101-1655,partner of
1,19991104-1114,19960916-9878,partner of
2,19991104-1114,19951201-7428,partner of
3,19960916-9878,19951201-7428,partner of
0,19680503-3969,19710914-8872,partner of
0,19931006-1838,19960121-1154,partner of
0,19341222-6688,19400805-5772,partner of
0,19520327-1490,19580714-2528,partner of
0,20031231-1896,20070410-8504,partner of
0,19660719-6196,19660719-3122,partner of
0,19900926-6419,19940914-7338,partner of
0,19480522-5891,19520531-9530,partner of
0,19911210-1977,19911210-5745,partner of
0,19301128-5437,19360205-3632,partner of
0,19360601-2113,19360601-8200,partner of
0,20020611-5603,19580501-6452,child of
1,20030903-3326,19580501-6452,child of
2,19580501-6452,20020611-5603,parent of
3,19580501-6452,20030903-3326,parent of
4,20020611-5603,19590126-3895,child of
5,20030903-3326,19590126-3895,child of
6,19590126-3895,20020611-5603,parent of
7,19590126-3895,20030903-3326,parent of
8,20020611-5603,20030903-3326,siblings
0,19580501-6452,19590126-3895,partner of
1,20020611-5603,19991217-9641,partner of
2,20030903-3326,19991217-9641,partner of
0,19581223-7282,19620524-8507,partner of
0,19620613-7074,19651223-3665,partner of
0,19250101-0604,19291130-6470,partner of
0,19530724-8493,19570405-3141,partner of
0,19560603-4442,19600608-7809,partner of
0,19430410-4076,19441110-0981,partner of
0,19691014-4062,19720312-9748,partner of
0,19770318-7135,19800828-5740,partner of
0,19580810-6251,19610210-4982,partner of
0,20020101-4958,19710120-7956,child of
1,19710120-7956,20020101-4958,parent of
2,20020101-4958,19730825-3366,child of
3,19730825-3366,20020101-4958,parent of
0,19710120-7956,19730825-3366,partner of
0,19360116-1050,19390605-3279,partner of
1,19990124-7552,19960224-6396,partner of
0,19751025-9787,19780920-7608,partner of
0,19700316-0052,19930101-9702,partner of
0,19250101-4860,19321110-4699,partner of
1,19980313-2689,19961013-6911,partner of
0,20030312-3899,19790413-9812,child of
1,19790413-9812,20030312-3899,parent of
0,19990209-8599,20030216-1633,partner of
0,19660531-9348,19660531-5065,partner of
0,19751021-4449,19800213-1506,partner of
0,19541210-6648,19551119-2494,partner of
0,19370330-1071,19410307-2836,partner of
0,19541015-9588,19570730-8676,partner of
0,19461204-8542,19470508-2926,partner of
0,19970101-3451,20001018-7638,partner of
0,19630818-9447,19670102-2863,partner of
0,19250101-9805,19280207-9044,partner of
0,19811218-4510,19830526-7411,partner of
0,19490909-5213,19510717-3626,partner of
0,19610804-2318,19630406-7174,partner of
0,19250101-2041,19320820-5869,partner of
0,19770313-7004,19840301-6605,partner of
0,19620419-9251,19690519-0243,partner of
0,19910525-5090,19971030-6369,partner of
0,19901208-4801,19930724-5632,partner of
0,19800817-3381,19930414-3236,partner of
0,19830505-5416,19900925-0460,partner of
0,19730105-8431,19801231-8646,partner of
0,19440319-6572,19440319-1449,partner of
0,20000909-7665,20070923-7769,partner of
0,19411030-3263,19430530-1326,partner of
0,19780210-1824,19851231-3658,partner of
0,19610325-5755,19980921-6384,partner of
0,19481102-5815,19481126-2783,partner of
1,19980101-6735,19971231-1905,partner of
2,19980101-6735,19950212-5218,partner of
3,19971231-1905,19950212-5218,partner of
0,19780518-9727,19851231-5606,partner of
0,19850116-9810,19861121-5050,partner of
0,19491206-1220,19531125-8823,partner of
0,19770701-1729,19770701-8087,partner of
0,19380219-8092,19400322-1706,partner of
0,19490117-5249,19491208-5764,partner of
0,19660829-0131,19690120-0523,partner of
0,19670913-4863,19670913-5353,partner of
0,20011006-5919,20080823-3761,partner of
0,19571228-1856,19610520-5086,partner of
0,19430807-7796,19470428-6824,partner of
0,19560106-0395,19620530-3204,partner of
0,19850321-5966,19890807-8768,partner of
0,19250101-5584,19310105-6643,partner of
1,19981023-7029,19960816-9230,partner of
0,19540602-0538,19580805-2167,partner of
0,19280213-8965,19280213-5902,partner of
1,19980918-5294,19970306-8487,partner of
0,19840212-4239,19890705-7157,partner of
0,19580618-9105,19630121-1482,partner of
0,19450114-7312,19501229-5745,partner of
0,20010429-0803,19971223-7944,partner of
0,19680208-7376,19701204-0107,partner of
0,19460702-7497,19480903-2584,partner of
0,19630727-3470,19670924-2458,partner of
0,19820516-7081,19860205-4997,partner of
0,19560108-3926,19610507-9339,partner of
0,19270916-8091,19300527-7163,partner of
0,19691014-7092,19691014-6507,partner of
0,19511001-3781,19540829-5827,partner of
0,19670311-1985,19701017-0932,partner of
0,19521004-8125,19530331-9314,partner of
0,19830301-9258,19880107-2445,partner of
0,20031231-2225,20090711-0518,partner of
0,19850324-9914,19890405-7785,partner of
0,19570801-7707,19571031-7701,partner of
0,19870522-7245,19890103-9657,partner of
0,19571127-0596,19611111-2252,partner of
0,19681005-7969,19720522-2843,partner of
0,19571004-9470,19571004-6787,partner of
0,19730515-5147,19730515-7779,partner of
0,19301127-6725,19301127-4013,partner of
0,20031231-8003,20081213-5990,partner of
0,19250101-3533,19310506-5318,partner of
0,19840413-8220,19891221-4222,partner of
0,19981214-3669,19970308-9552,partner of
0,19530322-5553,19571006-4668,partner of
0,19720514-0454,19750515-6403,partner of
0,19300728-7897,19370512-3651,partner of
0,19430208-3435,19491006-2235,partner of
1,19980817-0084,19960702-6086,partner of
0,20031231-8101,20101001-5943,partner of
0,19250101-3876,19260428-4236,partner of
0,20031231-3784,20101231-9154,partner of
0,19850210-5394,19860227-8420,partner of
0,19410129-7378,19410826-7275,partner of
0,20020211-7993,19810222-9669,child of
1,19810222-9669,20020211-7993,parent of
0,19720728-0774,19761220-8957,partner of
0,19831102-4068,19850708-8542,partner of
0,19470703-3929,19491102-6119,partner of
0,19360511-7203,19431231-4486,partner of
0,20031231-7030,20060609-4794,partner of
0,19430502-7064,19460508-4650,partner of
0,19450806-0614,19470921-9897,partner of
0,19990626-1309,19960914-8415,partner of
1,19990626-1309,19940101-3694,partner of
2,19960914-8415,19940101-3694,partner of
0,19640703-2971,19651116-6982,partner of
0,19250101-4466,19310507-2232,partner of
0,19610407-7919,19641007-9985,partner of
0,19630107-7647,19650203-3304,partner of
0,19881204-8465,19900317-4836,partner of
0,19630203-1949,19680712-2832,partner of
0,19550126-1650,19571205-5908,partner of
0,19600909-1649,19640219-3104,partner of
0,19771019-0103,19810926-4669,partner of
0,19860509-7283,19920803-5908,partner of
0,19660410-8272,19700408-2700,partner of
0,19850105-0478,19881009-3929,partner of
0,19770422-0753,19791031-3355,partner of
1,20031231-0506,20010730-0272,partner of
0,19660910-7836,19671126-7718,partner of
0,19390708-0451,19990319-9875,partner of
0,19641122-9859,19700424-4901,partner of
0,19680807-2261,19730303-1473,partner of
0,19590410-3068,19661231-1793,partner of
0,19981012-9959,19960110-5783,partner of
0,19590408-8358,19590408-5111,partner of
0,19381023-3836,19450710-8390,partner of
0,19540828-3801,19580710-8182,partner of
0,19471214-3672,19520406-8835,partner of
0,19560321-8912,19590804-1887,partner of
0,19571201-6806,19580523-1644,partner of
0,19480917-4556,19510829-3220,partner of
0,19890409-9634,19950618-0359,partner of
0,19790108-4210,19850716-6280,partner of
0,19501216-8112,19571231-9806,partner of
0,19571109-2043,19571109-6369,partner of
0,19581022-6154,19621128-9860,partner of
0,19730920-1093,20020620-2636,partner of
0,19250101-8211,19250101-3063,partner of
0,19641020-7259,19660907-3241,partner of
0,20031231-6214,20090523-8818,partner of
0,19590903-7520,19620523-7906,partner of
0,19350507-5189,19390723-6772,partner of
0,19250101-3966,19280516-1586,partner of
0,19411130-6472,19461203-9972,partner of
0,19670729-5157,19670729-4251,partner of
0,19270904-1719,19330830-9346,partner of
0,19911118-5776,19960605-2040,partner of
0,19620625-7529,19651023-8108,partner of
0,19990326-9539,19960829-6846,partner of
0,19720128-7011,19731121-1216,partner of
0,19590124-4917,19600422-6463,partner of
0,20020407-4184,19431003-0383,child of
1,19431003-0383,20020407-4184,parent of
2,20020407-4184,19480912-5003,child of
3,19480912-5003,20020407-4184,parent of
0,19431003-0383,19480912-5003,partner of
1,20020407-4184,20030630-6130,partner of
2,20020407-4184,19930101-1454,partner of
0,19730626-5762,19760304-8526,partner of
0,19710809-4745,19780205-2382,partner of
0,19560911-2015,19610718-8954,partner of
0,19830809-4681,19901029-4439,partner of
0,19840915-9523,19911212-5748,partner of
0,19990831-9453,19990831-6779,partner of
0,19850227-6714,19880808-6254,partner of
0,19740609-0923,19810129-5383,partner of
0,19310715-6253,19381012-4323,partner of
0,20031231-9000,20040614-4403,partner of
0,19981117-3279,19960819-6966,partner of
0,19980829-2801,19960104-0864,partner of
0,19350621-6878,19371008-0921,partner of
0,19980719-7405,19960315-5701,partner of
0,19740723-5296,19770928-7702,partner of
0,20031231-0579,20080614-8588,partner of
0,20031231-9964,20060509-6541,partner of
0,19600617-5955,19650429-3588,partner of
0,19490813-0443,19560803-5743,partner of
0,20020910-4975,19630517-4166,child of
1,19630517-4166,20020910-4975,parent of
0,19900731-5761,19950920-9416,partner of
0,19990330-7767,19960713-3700,partner of
0,19960328-5465,19980121-9222,partner of
0,19600406-2526,19670106-3944,partner of
0,19250101-3855,19281211-2506,partner of
0,19951230-8985,19970701-5228,partner of
0,19370108-9079,19410617-0266,partner of
0,19980609-0505,19960609-2409,partner of
0,19560507-6674,19570707-2502,partner of
0,19990313-6781,19970321-3857,partner of
1,19990313-6781,19951231-8946,partner of
2,19970321-3857,19951231-8946,partner of
0,19791023-3107,19791023-0744,partner of
0,19720729-0737,19771203-0537,partner of
0,20031231-3828,20091012-5258,partner of
0,19591018-6480,19641020-2276,partner of
0,19250101-0326,19271007-0018,partner of
0,20020101-6074,19850818-1476,child of
1,19850818-1476,20020101-6074,parent of
0,19850818-1476,19890128-1476,partner of
1,19890128-1476,20020101-6074,partner of
0,19331020-5904,19351118-5324,partner of
1,19981206-0587,19970330-5710,partner of
0,19250101-6164,19300814-4955,partner of
0,19450817-8794,19521231-1928,partner of
0,19970421-4406,20040406-0843,partner of
0,19430119-2353,19490309-5124,partner of
0,20031231-4038,20100430-2056,partner of
0,19930616-3654,19941130-8982,partner of
0,19970319-3745,20000822-2432,partner of
0,19880807-5980,19951231-1063,partner of
0,19541205-2468,19550817-5484,partner of
1,19990330-3539,19960722-5761,partner of
0,19760203-5525,19780701-2272,partner of
0,19751225-9755,19800703-3460,partner of
0,19630615-8129,19701231-5076,partner of
0,19990330-1514,19961031-5274,partner of
0,19740623-3444,19781023-6014,partner of
0,20030218-3104,19700326-8614,child of
1,19700326-8614,20030218-3104,parent of
0,19440822-2199,19440822-8808,partner of
0,19991006-7591,20040125-7755,partner of
0,20021209-5836,19720627-5174,child of
1,19720627-5174,20021209-5836,parent of
0,19711223-7629,20021209-5836,partner of
0,19251211-8125,19321231-0848,partner of
0,19801217-5016,19841125-4457,partner of
0,19590510-0933,19601106-8820,partner of
0,19350213-9301,19411221-3845,partner of
1,19980101-7511,19960823-1688,partner of
0,19541210-2777,19570327-4979,partner of
0,19250101-1811,19310212-3206,partner of
0,19450313-9458,19521231-4628,partner of
0,19250101-4902,19300202-7372,partner of
0,19930324-3694,19981224-4518,partner of
0,19981026-6022,20010610-1246,partner of
0,19990305-7774,20050613-7521,partner of
0,20031231-3921,20031231-4369,partner of
0,19850709-4174,19880718-7484,partner of
0,19581005-9656,19611014-4969,partner of
0,19490516-3538,19541022-1395,partner of
0,19340621-0758,19390508-6682,partner of
0,19970802-0289,20031205-1699,partner of
0,19720408-8109,19781206-4178,partner of
0,19640820-0369,19690804-3035,partner of
0,19480719-2440,19540318-3115,partner of
0,20030516-5548,19540423-6376,child of
1,19540423-6376,20030516-5548,parent of
0,19760606-8005,19820117-0529,partner of
0,19980829-7538,19970219-6963,partner of
1,19980829-7538,19950729-0066,partner of
2,19970219-6963,19950729-0066,partner of
0,19630828-2419,19690117-3140,partner of
0,19900101-1988,19930516-2842,partner of
0,19600802-1122,19600802-9018,partner of
0,19420426-5157,19420426-5419,partner of
0,19920319-0877,19931026-3123,partner of
0,19530116-1677,19591208-9364,partner of
0,19580329-4809,19600316-2177,partner of
0,19250101-0241,19300705-3940,partner of
0,19370327-8031,19441231-3892,partner of
0,19981115-4827,19961103-9740,partner of
1,19981115-4827,19950326-6373,partner of
2,19961103-9740,19950326-6373,partner of
0,19481006-6918,19510314-3395,partner of
0,19490621-5353,19540601-6240,partner of
1,20000521-7627,19960719-6495,partner of
0,19720501-7821,19760415-3869,partner of
0,20030707-3466,19850228-5379,child of
1,19850228-5379,20030707-3466,parent of
0,19840527-0478,19850228-5379,partner of
0,19800820-9893,19800920-8612,partner of
0,19250101-1359,19280316-0344,partner of
0,19520310-1684,19520310-2956,partner of
0,19980806-7909,19961030-2083,partner of
0,19790725-3150,19840113-0665,partner of
0,19990909-5953,20030610-2002,partner of
0,19400718-1622,19410922-0649,partner of
0,19980706-3636,19970702-8417,partner of
1,19980706-3636,19950309-6292,partner of
2,19970702-8417,19950309-6292,partner of
0,20031231-3605,20040713-2420,partner of
0,19840410-1734,19841111-9969,partner of
0,19681002-6058,19751231-4948,partner of
0,19411123-9126,19430706-8806,partner of
0,19980716-3197,19960110-3016,partner of
0,19560413-2116,19630901-1331,partner of
0,19610511-3085,19670428-6425,partner of
0,19680819-4421,19710709-2444,partner of
0,19250101-3083,19290526-3458,partner of
0,19250101-9637,19250101-0962,partner of
0,20020630-5354,19481110-2358,child of
1,20030401-8655,19481110-2358,child of
2,19481110-2358,20020630-5354,parent of
3,19481110-2358,20030401-8655,parent of
4,20020630-5354,20030401-8655,siblings
0,20020630-5354,19980514-7579,partner of
1,20030401-8655,19980514-7579,partner of
0,19650103-3359,19650712-2078,partner of
0,19430218-0802,19461019-1471,partner of
0,19350917-5715,19400106-8297,partner of
0,19930129-4511,19950702-6336,partner of
0,19630414-5788,19650801-2060,partner of
0,19561101-5846,19591229-0347,partner of
0,19710420-9438,19761119-5419,partner of
0,19851206-2100,19890119-2119,partner of
0,19781204-8204,19810206-7238,partner of
0,20030108-6800,19870312-1393,child of
1,19870312-1393,20030108-6800,parent of
2,20030108-6800,19870602-8574,child of
3,19870602-8574,20030108-6800,parent of
0,19870312-1393,19870602-8574,partner of
0,19250101-2800,19310317-1150,partner of
0,19660522-0629,19660522-5391,partner of
0,19590529-3949,19650523-0444,partner of
0,19620802-6672,19661009-3157,partner of
0,19571028-0437,19610928-1471,partner of
0,20031231-3477,20080218-3165,partner of
0,20000218-2425,20030527-1600,partner of
0,20031231-4629,20060325-5440,partner of
0,19571122-2016,19620318-3154,partner of
0,19370410-5275,19440307-3784,partner of
0,19720806-4200,19721110-6417,partner of
0,19540310-8494,19581011-9196,partner of
0,19780630-9957,19810212-8042,partner of
0,19330527-4629,19350310-8200,partner of
0,19410125-3187,19470116-8908,partner of
0,19980101-3313,19960101-6911,partner of
0,20010123-2858,19970825-7129,partner of
0,19541120-1318,19541120-2702,partner of
0,19590621-1500,19650618-3156,partner of
0,20001116-1345,20060523-1993,partner of
0,19500611-7890,19531014-4878,partner of
0,19380315-0407,19400711-3014,partner of
0,19540614-7833,19540614-9529,partner of
0,19980630-9962,19970330-9556,partner of
0,19910113-1416,19950202-3162,partner of
0,19751025-6028,19780108-1911,partner of
0,19991001-6791,20010509-2062,partner of
0,20030915-4159,19870117-4114,child of
1,19870117-4114,20030915-4159,parent of
0,19900929-4087,19971231-0341,partner of
0,20031231-1766,20050809-7861,partner of
0,19760208-4112,19811130-8782,partner of
0,19700224-9993,19750823-7873,partner of
0,19391206-2333,19420406-2483,partner of
1,19980418-1395,19960907-8249,partner of
0,19781118-5713,19840217-0128,partner of
0,19620106-1137,19650922-6057,partner of
0,19830725-9575,19831001-4434,partner of
0,19971001-5223,20030704-4360,partner of
0,20001008-2309,19970924-5050,partner of
0,20031231-3652,20060430-4369,partner of
0,20031231-8350,20070125-4204,partner of
0,19411127-2333,19460226-8106,partner of
0,19500709-5085,19541114-1327,partner of
0,19461110-6598,19481225-0776,partner of
1,20000101-8584,19930101-8352,partner of
0,19410809-7066,19451125-6011,partner of
0,19981104-6767,19960909-2271,partner of
0,19490129-2913,19551209-6645,partner of
0,19841012-3570,19891109-0301,partner of
0,19511122-3296,19520611-3165,partner of
0,19580724-9862,19590210-2830,partner of
0,20031231-3772,20031231-0376,partner of
0,20020319-6169,19710726-3291,child of
1,19710726-3291,20020319-6169,parent of
0,20020319-6169,19940802-1550,partner of
0,19990523-2065,19970912-6687,partner of
1,19990523-2065,19950128-2704,partner of
2,19970912-6687,19950128-2704,partner of
0,19740610-7084,19791206-8161,partner of
0,20000320-1427,20020101-0064,partner of
0,19750130-8279,19810817-4701,partner of
0,20031231-8456,20101231-5975,partner of
0,19440601-3255,19450612-4552,partner of
0,20021005-4199,19460209-1057,child of
1,19460209-1057,20021005-4199,parent of
2,20021005-4199,19531231-9379,child of
3,19531231-9379,20021005-4199,parent of
0,19460209-1057,19531231-9379,partner of
0,19580509-3909,19580509-0127,partner of
0,19790202-5837,19790219-2990,partner of
0,19430325-0527,19450320-9353,partner of
0,19530917-2340,19551216-4481,partner of
0,19710606-8925,19751018-3312,partner of
0,19491031-2066,19561231-3071,partner of
0,20000901-5186,20070124-4751,partner of
0,19741215-4972,19761010-8105,partner of
0,20031231-1215,20080217-5839,partner of
0,20031231-5519,20070218-9900,partner of
0,19980428-0676,19970310-1612,partner of
1,19980428-0676,19951218-9102,partner of
2,19970310-1612,19951218-9102,partner of
0,19250101-3310,19291204-0416,partner of
0,19730914-4909,19780619-3314,partner of
0,19520422-0613,19590102-8728,partner of
0,19540424-9425,19550228-7156,partner of
0,19621212-8491,19630630-6181,partner of
0,19550121-3397,19560110-7864,partner of
0,19430514-2043,19450109-0182,partner of
0,19630101-1145,19630515-6284,partner of
0,19650912-3115,19701206-7834,partner of
0,20031231-7640,20070714-0866,partner of
0,19310620-3728,19370515-2034,partner of
0,19601126-0909,19640126-2872,partner of
0,19520513-9994,19541014-8653,partner of
0,19740928-6544,19770314-6206,partner of
0,19860121-1292,19870829-9436,partner of
0,19450206-6031,19500211-3670,partner of
0,19461130-8003,19511015-4311,partner of
1,19980829-8287,19970330-3224,partner of
0,19581123-9391,19651030-0767,partner of
0,20031231-7945,20031231-9210,partner of
0,19670712-2586,19670819-2335,partner of
0,19430430-5271,19470725-2498,partner of
0,19981126-3805,19961207-6728,partner of
1,19981126-3805,19950603-3222,partner of
2,19961207-6728,19950603-3222,partner of
0,19490711-0741,19540320-3425,partner of
0,19531005-1715,19571212-8032,partner of
0,19590707-2810,19640624-9808,partner of
1,20020806-2397,19990330-2819,partner of
2,19990330-2819,19961202-7262,partner of
0,19381023-0348,19390714-7526,partner of
0,19890628-0433,19910928-9392,partner of
0,19451104-2454,19480307-4492,partner of
0,19980805-0261,19960704-9922,partner of
0,20031231-4376,20080906-1193,partner of
0,19740319-7857,19811008-6070,partner of
0,19661220-7325,19721230-7586,partner of
0,19511113-6183,19550502-7549,partner of
0,19791010-6431,19861231-7632,partner of
0,19530318-5337,19591115-1764,partner of
0,19401201-9111,19460329-5433,partner of
0,19590829-9241,19661108-1986,partner of
1,19980101-0008,19961002-6980,partner of
0,19250101-3307,19290511-1736,partner of
0,20021010-1831,19701004-8843,child of
1,19701004-8843,20021010-1831,parent of
0,19710313-1713,19710313-1379,partner of
0,19920130-4727,19940830-8149,partner of
0,19340419-6709,19411231-0779,partner of
0,19380428-5835,19420925-5416,partner of
0,19990518-2502,19970206-5486,partner of
1,19990518-2502,19940101-5921,partner of
2,19970206-5486,19940101-5921,partner of
0,19670213-9098,19741231-2886,partner of
0,19920624-0175,19970523-3305,partner of
0,20031231-3240,20090428-9056,partner of
0,19610617-0170,19640624-4035,partner of
1,20011231-8405,19960131-8825,partner of
0,19590407-7255,19611114-1674,partner of
1,19980927-7467,19970918-4170,partner of
2,19980927-7467,19940104-3894,partner of
3,19970918-4170,19940104-3894,partner of
0,19981125-4276,19970223-8275,partner of
0,19770323-7388,19830818-7877,partner of
0,19550407-5174,19550726-7618,partner of
0,19850427-4235,19891204-2777,partner of
0,20030102-0527,19470419-9275,child of
1,19470419-9275,20030102-0527,parent of
2,20030102-0527,19490929-4322,child of
3,19490929-4322,20030102-0527,parent of
0,19470419-9275,19490929-4322,partner of
0,19830302-3195,19830302-7931,partner of
0,19340814-5998,19360520-7630,partner of
0,19950815-2168,19990529-6901,partner of
0,19670329-5554,19700527-0821,partner of
0,19621112-4835,19660805-8202,partner of
0,19840407-2742,19870728-1104,partner of
0,20031231-4912,20080603-1198,partner of
0,19880510-1601,19920127-4189,partner of
0,19571013-6651,19631028-0098,partner of
1,19980607-6065,19970127-1256,partner of
0,19560405-8980,19580715-9408,partner of
0,19980509-8230,19970219-2536,partner of
1,19980509-8230,19950114-0844,partner of
2,19970219-2536,19950114-0844,partner of
0,19470430-3812,19540210-5537,partner of
0,19820622-0438,19871214-1499,partner of
0,19620124-2782,19670221-8505,partner of
0,19691214-3519,19761009-5208,partner of
0,19360906-3707,19400223-1092,partner of
0,20000522-9335,20011228-8887,partner of
0,19620209-9038,19680707-9648,partner of
0,19840504-2227,19840504-4217,partner of
0,19980920-5268,19960415-3323,partner of
0,19671213-7009,19730411-4169,partner of
0,19970627-1349,19970916-7696,partner of
0,19980816-1036,19960125-5422,partner of
0,19250101-5840,19270630-9673,partner of
0,19980621-3812,19961211-2259,partner of
0,19740423-3874,19780928-7903,partner of
0,19250923-3427,19291018-2007,partner of
0,19250205-5937,19270815-7110,partner of
0,19471102-9841,19520725-3022,partner of
0,19470713-1345,19510520-2757,partner of
0,19750125-0258,19770507-5247,partner of
0,19590427-5682,19600620-3395,partner of
0,19540531-0732,19601012-3096,partner of
1,19990403-6177,19970409-0598,partner of
2,19990403-6177,19941102-4908,partner of
3,19970409-0598,19941102-4908,partner of
0,19570420-8013,19640125-0789,partner of
0,19700516-0540,19740907-2570,partner of
0,19641029-6875,19690409-3940,partner of
0,19470406-8002,19500314-4338,partner of
0,19840214-8220,19870113-2893,partner of
0,19250101-0409,19321231-5478,partner of
0,19461005-3285,19480210-7009,partner of
0,19800803-4527,19820629-8594,partner of
0,19620619-0449,19651119-4177,partner of
0,20030820-5386,19630715-9594,child of
1,19630715-9594,20030820-5386,parent of
0,19730316-6759,19801231-3419,partner of
0,19891002-1691,19961231-9024,partner of
0,19690225-2260,19721104-1065,partner of
0,19470430-4233,19510505-8849,partner of
0,19440521-5831,19440521-1599,partner of
0,19710616-8524,19710705-3966,partner of
0,19640308-4092,19670808-4368,partner of
0,20031231-7901,20101231-5544,partner of
0,19990628-5461,19961009-6648,partner of
1,19990628-5461,19950517-4463,partner of
2,19961009-6648,19950517-4463,partner of
0,19700519-2365,19941110-8081,partner of
0,19710531-8116,19731217-2620,partner of
0,19700902-5472,19721215-7125,partner of
0,19980101-9622,19960327-8500,partner of
