PersonNr,Lan,Kommun,Forsamling,Distriktskod,FastLopNr,FastBet,Barn0_3,Barn4_6,Barn7_10,Barn11_15,Barn16_17,Barn18plus,Barn18_19,Barn20plus,FamId,Sun2000niva_old,SUN2000niva,SUN2000Inr,SUN2000Grp,CfarNr_LISA,ArbstId,AstNr_LISA,AstKommun,AstLan,KU1PeOrgNr,KU1CfarNr,KU1AstNr,KU1AstKommun,KU1AstLan,KU1YrkStalln,KU2PeOrgNr,KU2CfarNr,KU2AstNr,KU2AstKommun,KU2AstLan,KU2YrkStalln,KU3PeOrgNr,KU3CfarNr,KU3AstNr,KU3AstKommun,KU3AstLan,KU3YrkStalln,FodelseAr,DodDatum,Alder,Kon,InvUtvLand,InvUtvManad,PostTyp,FodelseLandnamn,FodelseTidMor,FodelseLandnamnMor,FodelseTidFar,FodelseLandnamnFar,UtlSvBakg,SyssStat,ArbTid,YrkStalln,KU1lnk,KU2lnk,KU3lnk,Raks_SummaInk,Raks_Huvudanknytning,Raks_EtablGrad,Raks_Forvink
19640513-1274,Blekinge county,Karlskrona,108015,102032,809100262,Karlskrona Fridlevstad 207279636,0,0,0,0,0,0,0,0,19640513-1274,34689,537,526b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)",322378841,32237884185192Olofström350120-1827,85192,Olofström,Blekinge county,350120-1827,322378841,85192,Olofström,Blekinge county,1,661126-1841,467345975,76043,Olofström,Blekinge county,1,-,-,-,0000,00,-,1964,,26,1,Denmark,1976-03,Inv,Germany,1982-01-02,Poland,1979-01-02,Denmark,11,5,9,1,301,206,0,1836,5,NULL,0
19440705-7603,Halland county,Hylte,131504,105114,160568488,Hylte Unnaryd 352208445,0,0,0,0,0,0,0,0,19440705-7603,97673,328,541,Gymnasieutbildning inom livsmedel,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1944,,46,2,UK,1960-12,Utv,Germany,1982-01-02,Syria,1979-01-02,Poland,11,6, , ,0,0,0,3608,5,NULL,0
19540409-1450,Kronoberg county,Uppvidinge,076004,105142,126292176,Uppvidinge Åseda 361957037,0,0,0,0,0,0,0,0,19540409-1450,33752,633,311,Högskoleutbildning i psykologi och psykoterapi (minst 3 år),457347940,45734794055951Ljungby570909-5658,55951,Ljungby,Kronoberg county,570909-5658,457347940,55951,Ljungby,Kronoberg county,1,450823-8565,318712690,26967,Älmhult,Kronoberg county,1,-,-,-,0000,00,-,1954,,36,1,UK,1971-09,Utv,Russia,1982-01-02,Poland,1979-01-02,Romania,11,1,4,4,1294,1003,0,7138,5,NULL,0
19580821-0278,Kronoberg county,Uppvidinge,076004,105142,126292176,Uppvidinge Åseda 361957037,0,0,0,0,0,0,0,0,19540409-1450,73692,324,543c,Gymnasieutbildning inom träteknik,389659967,38965996704961Ljungby610318-9351,04961,Ljungby,Kronoberg county,610318-9351,389659967,04961,Ljungby,Kronoberg county,1,510126-2386,335809638,09170,Uppvidinge,Kronoberg county,1,-,-,-,0000,00,-,1958,,32,1,Turkey,1980-07,Inv,China,1982-01-02,Romania,1979-01-02,Brazil,11,5,1,2,1108,776,0,2033,1,1,0
19430625-9509,Skåne county,Hässleholm,129301,101358,029345376,Hässleholm Tyringe 229090587,0,0,0,1,0,0,0,0,19430625-9509,52193,3,010c,Naturvetenskaplig gymnasieutbildning,469820568,46982056879738Båstad491007-0751,79738,Båstad,Skåne county,491007-0751,469820568,79738,Båstad,Skåne county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1943,,47,2,Sweden,1951-05,Utv,Poland,1982-01-02,Italy,1979-01-02,Poland,11,1,3,2,1620,0,0,2908,2,1,0
19500702-6506,Skåne county,Hässleholm,129301,101358,029345376,Hässleholm Tyringe 229090587,0,0,0,1,0,0,0,0,19430625-9509,32034,3,999,"Gymnasial utbildning, okänd inriktning",573478073,57347807379487Bromölla350615-2926,79487,Bromölla,Skåne county,350615-2926,573478073,79487,Bromölla,Skåne county,1,331026-9461,582999847,58878,Svedala,Skåne county,1,-,-,-,0000,00,-,1950,,40,2,USA,1951-03,Utv,Brazil,1982-01-02,Russia,1979-01-02,Romania,11,1,5,0,1809,1134,0,2943,7,NULL,0
19431116-3593,Örebro county,Hällefors,186301,214053,136536453,Hällefors Grythyttan 113669243,0,0,0,0,0,0,0,0,19431116-3593,89621,3,010b,"Samhällsvetenskaplig, social och humanistisk gymnasieutbildning",519835374,51983537496506Lekeberg340915-7432,96506,Lekeberg,Örebro county,340915-7432,519835374,96506,Lekeberg,Örebro county,1,520405-1152,707373806,82328,Laxå,Örebro county,1,-,-,-,0000,00,-,1943,,47,1,Netherlands,1989-01,Utv,Romania,1982-01-02,Poland,1979-01-02,Russia,11,1,4,2,1360,1219,0,2844,3,1,0
19431116-2242,Örebro county,Hällefors,186301,214053,136536453,Hällefors Grythyttan 113669243,0,0,0,0,0,0,0,0,19431116-3593,53067,1,010a,Folkskoleutbildning och motsvarande,198497093,19849709361080Laxå450906-7499,61080,Laxå,Örebro county,450906-7499,198497093,61080,Laxå,Örebro county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1943,19580718,14,2,India,1951-04,Inv,China,1982-01-02,Germany,1979-01-02,Poland,11,1,5,4,1680,0,0,16761,6,NULL,16761
19680605-6211,Västernorrland county,Ånge,226002,320006,330601542,Ånge Alby 182411652,0,0,0,0,0,0,0,0,19680605-6211,56987,553,311,Högskoleutbildning i psykologi och psykoterapi (minst 3 år),198087361,19808736102617Örnsköldsvik251122-2141,02617,Örnsköldsvik,Västernorrland county,251122-2141,198087361,02617,Örnsköldsvik,Västernorrland county,1,680605-6211,592960707,12943,Sollefteå,Västernorrland county,1,-,-,-,0000,00,-,1968,,22,1,Turkey,2014-07,Utv,Pakistan,1982-01-02,Romania,1979-01-02,Poland,11,5,5,1,1507,1296,0,2803,5,NULL,0
19711229-6977,Västernorrland county,Ånge,226002,320006,330601542,Ånge Alby 182411652,0,0,0,0,0,0,0,0,19680605-6211,45378,5,861a,Polisutbildning,251813586,25181358699120Sollefteå500122-7982,99120,Sollefteå,Västernorrland county,500122-7982,251813586,99120,Sollefteå,Västernorrland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1971,,19,1,Brazil,2001-04,Inv,Netherlands,1982-01-02,Germany,1979-01-02,India,11,1,5,0,1460,0,0,3056,7,NULL,0
19650825-7279,Gotland county,Gotland,098033,106062,644932372,Gotland Väskinde 355263789,0,0,0,0,0,0,0,0,19650825-7279,82185,536,521b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)",838305478,83830547849904Gotland700414-7769,49904,Gotland,Gotland county,700414-7769,838305478,49904,Gotland,Gotland county,1,730504-4141,680248470,61733,Gotland,Gotland county,1,-,-,-,0000,00,-,1965,,25,1,Iran,2002-10,Inv,Poland,1982-01-02,Italy,1979-01-02,India,11,1,3,1,2349,1801,0,4878,5,NULL,0
19430609-1142,Östergötland county,Finspång,056201,108160,487035139,Finspång Borggård 235262738,1,0,0,0,0,0,0,0,19430609-1142,69313,532,4,"Minst 30 högskolepoäng inom naturvetenskap, matematik och IKT ej examen",865132228,86513222828205Ydre371220-7281,28205,Ydre,Östergötland county,371220-7281,865132228,28205,Ydre,Östergötland county,1,430609-1142,271557217,00859,Åtvidaberg,Östergötland county,1,-,-,-,0000,00,-,1943,,47,2,Poland,2018-11,Inv,Iran,1982-01-02,Iran,1979-01-02,UK,11,1,3,1,929,572,0,1501,5,NULL,0
19671101-1018,Kronoberg county,Markaryd,076703,105007,386649116,Markaryd Strömsnäsbruk 212417310,0,0,0,0,0,0,0,0,19671101-1018,11494,6,581d,Arkitekt- och landskapsarkitektutbildning,338872945,33887294517002Lessebo301104-6821,17002,Lessebo,Kronoberg county,301104-6821,338872945,17002,Lessebo,Kronoberg county,1,570601-9147,188044752,99091,Växjö,Kronoberg county,1,-,-,-,0000,00,-,1967,,23,1,Turkey,2003-10,Inv,UK,1982-01-02,Netherlands,1979-01-02,Italy,11,1,5,4,1088,955,0,2048,6,NULL,0
19711126-6300,Kronoberg county,Markaryd,076703,105007,386649116,Markaryd Strömsnäsbruk 212417310,0,0,0,0,0,0,0,0,19671101-1018,49465,4,726a,Fysioterapeututbildning,269674895,26967489512415Lessebo510319-9042,12415,Lessebo,Kronoberg county,510319-9042,269674895,12415,Lessebo,Kronoberg county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1971,,19,2,UK,2016-11,Inv,Brazil,1982-01-02,Iraq,1979-01-02,Finland,11,1,9,0,1824,0,0,1824,7,NULL,0
19610119-8045,Uppsala county,Östhammar,038204,215196,113952128,Östhammar Alunda 47206683,0,0,1,0,0,0,0,0,19610119-8045,75977,412,1,"Minst 30 högskolepoäng inom pedagogik och lärarutbildning, ej examen",952479622,95247962263811Tierp401228-9783,63811,Tierp,Uppsala county,401228-9783,952479622,63811,Tierp,Uppsala county,1,391008-0818,348020504,55502,Enköping,Uppsala county,1,-,-,-,0000,00,-,1961,,29,2,China,1997-10,Inv,Pakistan,1982-01-02,Pakistan,1979-01-02,Italy,11,1,3,2,1306,1035,0,3329,1,0,0
19631031-7955,Södermanland county,Gnesta,046101,212042,076229938,Gnesta Stjärnhov 360937242,0,0,0,0,0,0,0,0,19631031-7955,26671,4,762b,Social service- och omsorgsutbildning,628581570,62858157086481Katrineholm550814-5329,86481,Katrineholm,Södermanland county,550814-5329,628581570,86481,Katrineholm,Södermanland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1963,,27,1,UK,1972-10,Utv,Italy,1982-01-02,USA,1979-01-02,China,11,1,9,0,1426,0,0,7485,7,NULL,0
19631031-3001,Södermanland county,Gnesta,046101,212042,076229938,Gnesta Stjärnhov 360937242,0,0,0,0,0,0,0,0,19631031-7955,54313,4,724d,Tandhygienistutbildning,101181307,10118130722100Gnesta601222-0041,22100,Gnesta,Södermanland county,601222-0041,101181307,22100,Gnesta,Södermanland county,1,581007-4580,878619436,99083,Oxelösund,Södermanland county,1,-,-,-,0000,00,-,1963,,27,2,Germany,2010-08,Utv,Finland,1982-01-02,USA,1979-01-02,USA,11,1,3,0,1661,1359,0,3020,7,NULL,0
19280517-6962,Västmanland county,Surahammar,190701,214036,468726677,Surahammar Ramnäs 195554942,0,0,0,0,0,0,0,0,19280517-6962,42147,5,726b,Arbetsterapeututbildning,168129880,16812988068665Sala411209-2434,68665,Sala,Västmanland county,411209-2434,168129880,68665,Sala,Västmanland county,1,340414-2236,782336249,78107,Kungsör,Västmanland county,1,-,-,-,0000,00,-,1928,,62,2,Denmark,2017-08,Utv,Poland,1982-01-02,Italy,1979-01-02,Sweden,21,1,4,2,1308,1108,0,5564,1,1,0
19420702-3340,Blekinge county,Ronneby,108110,102021,354052545,Ronneby Bräkne-Hoby 122650624,0,1,0,0,0,1,0,0,19420702-3340,11067,547,145,"Ämneslärarutbildning, allmänna ämnen",744562193,74456219327781Karlskrona290207-2729,27781,Karlskrona,Blekinge county,290207-2729,744562193,27781,Karlskrona,Blekinge county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1942,,48,2,Sweden,1943-02,Inv,Russia,1982-01-02,Pakistan,1979-01-02,Denmark,11,1,5,1,1187,0,0,1530,5,NULL,0
19590604-7237,Blekinge county,Ronneby,108110,102021,354052545,Ronneby Bräkne-Hoby 122650624,0,0,0,0,0,0,0,0,19420702-3340,15302,522,1,"Minst 30 högskolepoäng inom pedagogik och lärarutbildning, ej examen",788719858,78871985899994Olofström590604-7237,99994,Olofström,Blekinge county,590604-7237,788719858,99994,Olofström,Blekinge county,1,410510-8736,210473790,00281,Karlskrona,Blekinge county,1,-,-,-,0000,00,-,1959,,31,1,Denmark,1959-12,Utv,Romania,1982-01-02,Sweden,1979-01-02,Brazil,21,1,3,1,1438,1358,0,6157,5,NULL,0
19410830-3229,Västra Götaland county,Skövde,149608,107312,302011191,Skövde Skövde 133989566,0,0,0,0,0,0,0,0,19410830-3229,57265,547,529x,Övrig civilingenjörsutbildning,160560266,16056026699999Skara681218-5636,99999,Skara,Västra Götaland county,681218-5636,160560266,99999,Skara,Västra Götaland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1941,,49,2,Afghanistan,2012-08,Inv,Romania,1982-01-02,Sweden,1979-01-02,Brazil,21,1,5,4,2258,0,0,4404,5,NULL,0
19430829-0432,Västra Götaland county,Skövde,149608,107312,302011191,Skövde Skövde 133989566,0,0,0,0,0,0,0,0,19410830-3229,91143,547,523x,"Civilingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1943,,47,1,USA,1957-11,Utv,Sweden,1982-01-02,Pakistan,1979-01-02,Turkey,12,6, , ,0,0,0,2315,5,NULL,0
19480218-9971,Blekinge county,Karlskrona,108009,102027,750154334,Karlskrona Fågelmara 280756847,0,0,0,0,0,0,0,0,19480218-9971,57902,522,210b,"Minst 30 högskolepoäng inom humaniora och konst, ej examen",945233788,94523378876320Olofström480218-9971,76320,Olofström,Blekinge county,480218-9971,945233788,76320,Olofström,Blekinge county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1948,,42,1,Netherlands,1975-02,Inv,Germany,1982-01-02,Iran,1979-01-02,Denmark,11,1,4,2,1420,0,0,1876,2,1,0
19310206-4674,Kalmar county,Emmaboda,086204,105016,231041631,Emmaboda Vissefjärda 360337918,0,0,0,0,0,0,0,0,19310206-4674,28928,522,5,"Minst 30 högskolepoäng inom teknik och tillverkning, ej examen",650501679,65050167930556Vimmerby500220-4159,30556,Vimmerby,Kalmar county,500220-4159,650501679,30556,Vimmerby,Kalmar county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1931,,59,1,USA,1938-12,Utv,Denmark,1982-01-02,Sweden,1979-01-02,India,21,1,4,2,987,0,0,4652,1,0,0
19400815-9297,Gotland county,Gotland,098029,106050,995723716,Gotland Fårösund 166083969,0,0,0,0,0,0,0,0,19400815-9297,55298,547,581c,Arkitekt- och landskapsarkitektutbildning,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1940,,50,1,Germany,1944-09,Inv,Finland,1982-01-02,Sweden,1979-01-02,Pakistan,21,6, , ,0,0,0,7415,6,NULL,0
19430201-1200,Gotland county,Gotland,098029,106050,995723716,Gotland Fårösund 166083969,0,0,0,0,0,0,0,0,19400815-9297,90358,3,622c,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård,628736030,62873603044746Gotland610221-8612,44746,Gotland,Gotland county,610221-8612,628736030,44746,Gotland,Gotland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1943,,47,2,India,1980-05,Utv,USA,1982-01-02,Iraq,1979-01-02,India,11,1,2,2,1273,0,0,1386,1,1,0
19520309-3248,Örebro county,Degerfors,186201,213015,243486028,Degerfors Svartå 345260652,0,0,0,0,0,0,0,0,19520309-3248,26707,6,623,Skogsbruksvetenskaplig högskoleutbildning (minst 3 år),918799988,91879998836845Askersund251327-0550,36845,Askersund,Örebro county,251327-0550,918799988,36845,Askersund,Örebro county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1952,,38,2,Pakistan,1960-03,Inv,India,1982-01-02,Russia,1979-01-02,Russia,11,5,5,1,1278,0,0,2451,5,NULL,0
19490217-2407,Norrbotten county,Luleå,258003,325005,187511566,Luleå Sundom 267640013,0,0,0,0,0,0,0,0,19490217-2407,29016,551,312,Samhälls- och beteendevetenskaplig högskoleutbildning (minst 3 år),443627276,44362727609447Pajala480622-7942,09447,Pajala,Norrbotten county,480622-7942,443627276,09447,Pajala,Norrbotten county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1949,19970927,48,2,Brazil,1996-09,Inv,Netherlands,1982-01-02,Turkey,1979-01-02,Turkey,11,1,3,4,1324,0,0,1324,6,NULL,0
19320310-0123,Jönköping county,Vetlanda,068509,105160,083451149,Vetlanda Pauliström 13499212,0,0,0,0,0,0,0,0,19320310-0123,64671,699,345,"Högskoleutbildning inom organisation, administration och förvaltning (minst 3 år)",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1932,,58,2,Syria,1999-12,Inv,USA,1982-01-02,Denmark,1979-01-02,Denmark,11,6, , ,0,0,0,2799,6,NULL,0
19260810-2357,Västra Götaland county,Vänersborg,148701,107324,550434770,Vänersborg Frändefors 27173239,0,0,1,1,0,1,0,0,19260810-2357,97372,3,1,Gymnasial utbildning inom pedagogik och lärarutbildning,192423895,19242389553849Vara371220-4187,53849,Vara,Västra Götaland county,371220-4187,192423895,53849,Vara,Västra Götaland county,1,720908-6129,446815182,78661,Tranemo,Västra Götaland county,1,-,-,-,0000,00,-,1926,,64,1,Germany,1932-03,Inv,Sweden,1982-01-02,Turkey,1979-01-02,USA,12,1,3,2,1894,1708,0,3602,4,0,0
19510322-8248,Västra Götaland county,Vänersborg,148701,107324,550434770,Vänersborg Frändefors 27173239,0,0,0,0,0,0,0,0,19260810-2357,38443,325,522d,Gymnasieutbildning inom energi och VVS,363509444,36350944409753Uddevalla510322-8248,09753,Uddevalla,Västra Götaland county,510322-8248,363509444,09753,Uddevalla,Västra Götaland county,1,730510-0533,882506259,97416,Skövde,Västra Götaland county,1,-,-,-,0000,00,-,1951,,39,2,Germany,1981-09,Utv,Sweden,1982-01-02,Turkey,1979-01-02,Poland,12,1,5,2,1429,1126,0,2555,1,1,0
19301018-1711,Västra Götaland county,Vänersborg,148701,107324,550434770,Vänersborg Frändefors 27173239,0,0,1,1,0,1,0,0,19260810-2357,33216,4,724d,Tandhygienistutbildning,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1930,,60,1,UK,1970-03,Utv,USA,1982-01-02,Afghanistan,1979-01-02,Germany,11,6, , ,0,0,0,1884,6,NULL,0
19570107-1037,Örebro county,Degerfors,186201,213015,283892259,Degerfors Degerfors 215370259,0,0,0,0,0,0,0,0,19570107-1037,94974,5,211c,Konstnärlig eftergymnasial utbildning,978020657,97802065739427Nora451218-8011,39427,Nora,Örebro county,451218-8011,978020657,39427,Nora,Örebro county,1,480220-5080,197280149,64394,Degerfors,Örebro county,1,-,-,-,0000,00,-,1957,,33,1,India,2018-01,Inv,Italy,1982-01-02,India,1979-01-02,USA,11,1,2,4,1612,1355,0,2967,5,NULL,0
19510220-4397,Södermanland county,Flen,048208,212025,516481570,Flen Bettna 365803249,0,0,0,0,0,0,0,0,19510220-4397,92630,4,999,"Eftergymnasial utbildning, okänd inriktning",781781804,78178180435037Eskilstuna510220-4397,35037,Eskilstuna,Södermanland county,510220-4397,781781804,35037,Eskilstuna,Södermanland county,1,281018-0014,319064776,42194,Trosa,Södermanland county,1,-,-,-,0000,00,-,1951,,39,1,India,1966-03,Inv,Syria,1982-01-02,UK,1979-01-02,Germany,11,5,2,2,1357,1196,0,2553,1,0,0
19530706-7953,Östergötland county,Vadstena,058401,108065,809076261,Vadstena Vadstena 131959545,1,0,0,0,0,0,0,0,19530706-7953,48475,556,322,Biblioteks- och informationsvetenskaplig högskoleutbildning (minst 3 år),135829733,13582973311946Åtvidaberg560119-3331,11946,Åtvidaberg,Östergötland county,560119-3331,135829733,11946,Åtvidaberg,Östergötland county,1,280824-2072,209295537,19060,Valdemarsvik,Östergötland county,1,-,-,-,0000,00,-,1953,,37,1,Pakistan,1959-09,Utv,Finland,1982-01-02,Turkey,1979-01-02,Italy,11,1,5,1,1282,828,0,2719,6,NULL,0
19500111-9695,Västernorrland county,Sundsvall,228105,320014,173876853,Sundsvall Sundsvall 1226428,0,0,0,0,0,0,0,0,19500111-9695,95991,5,840,Transportutbildning på eftergymnasial nivå,346371605,34637160553884Timrå520909-5713,53884,Timrå,Västernorrland county,520909-5713,346371605,53884,Timrå,Västernorrland county,1,341229-8699,916481254,99992,Timrå,Västernorrland county,1,-,-,-,0000,00,-,1950,,40,1,Germany,2009-07,Utv,Sweden,1982-01-02,Syria,1979-01-02,Iran,12,1,9,1,911,700,0,2129,6,NULL,0
19561124-9214,Gävleborg county,Ovanåker,212101,318013,901352197,Ovanåker Roteberg 25771361,0,0,0,0,0,0,0,0,19561124-9214,11141,54,727a,Apotekarutbildning,176484708,17648470850776Nordanstig490703-8083,50776,Nordanstig,Gävleborg county,490703-8083,176484708,50776,Nordanstig,Gävleborg county,1,480919-2939,192301437,52836,Hofors,Gävleborg county,1,-,-,-,0000,00,-,1956,,34,1,Sweden,1966-07,Inv,India,1982-01-02,USA,1979-01-02,USA,11,5,9,2,1356,1298,0,3759,4,1,0
19481227-9060,Västerbotten county,Norsjö,241702,323024,945302259,Norsjö Norsjö 178270483,0,0,0,0,0,0,0,0,19481227-9060,67520,3,723q,Omvårdnads- och omsorgsutbildning på gymnasial nivå,855502454,85550245496085Malå481227-9060,96085,Malå,Västerbotten county,481227-9060,855502454,96085,Malå,Västerbotten county,1,481227-9060,855502454,22978,Dorotea,Västerbotten county,1,-,-,-,0000,00,-,1948,,42,2,UK,1968-05,Utv,Iran,1982-01-02,Germany,1979-01-02,UK,11,1,5,4,739,587,0,1326,5,NULL,0
